vendor_record_id,vendor_id,vendor_name,vendor_country,vendor_region,vendor_tier,vendor_category,snapshot_month,on_time_delivery_rate,quality_acceptance_rate,quality_rejection_count,defect_rate_pct,lead_time_avg_days,lead_time_variance_days,contract_lead_time_days,procurement_spend_usd,purchase_order_count,invoice_accuracy_rate,payment_terms_days,days_payable_outstanding,contract_start_date,contract_expiry_date,concentration_risk_pct,financial_stability_score,esg_compliance_score,past_disruption_count,active_dispute_flag,preferred_vendor_flag,vris_score,risk_category,lead_time_inconsistency_flag,contract_expired_flag,contract_renewal_due_flag,year,product_cost_competitiveness_score,cost_benchmark_order_count,otd_score,quality_score,risk_performance_score,cost_efficiency_score,lead_time_score,supplier_score
VR-00012587,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2021-11-01,77.46,80.82,3,0.485,6.09,0.53,7,174761.68,14,87.92,15,10.88,2019-12-01,2023-09-16,40.51,61.72,20.0,0,0,0,66.64,Medium,False,False,False,2021,47.141375526609735,29,77.46,80.82,33.36,59.37496286862681,98.4857142857143,69.75
VR-00012588,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2021-12-01,77.33,76.77,1,0.083,31.43,0.72,28,7297.12,9,92.62,15,19.45,2019-12-01,2024-10-28,36.91,57.1,56.73,0,0,0,70.5,High,False,False,False,2021,47.141375526609735,29,77.33,76.77,29.5,60.78496286862681,90.7552020362711,67.18
VR-00012589,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2022-01-01,88.26,78.03,1,0.174,41.63,6.31,39,3668.94,10,88.31,15,11.7,2019-12-01,2024-04-20,34.24,61.72,56.16,1,0,0,74.33,High,False,False,False,2022,4.751328275815495,26,88.26,78.03,25.67,29.818929793070843,91.71005500224814,65.45
VR-00012590,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2022-02-01,73.21,81.9,2,0.159,58.82,6.4,58,26953.51,8,100.0,15,18.23,2019-12-01,2022-07-01,19.09,61.72,55.8,0,0,0,77.77,High,False,False,False,2022,4.751328275815495,26,73.21,81.9,22.230000000000004,33.32592979307085,96.6778365322609,62.29
VR-00012591,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2022-03-01,69.63,78.38,1,0.075,24.84,2.08,25,19025.79,18,89.15,15,4.65,2019-12-01,2022-10-04,42.82,100.0,44.93,0,0,0,75.07,High,False,False,False,2022,4.751328275815495,26,69.63,78.38,24.930000000000007,30.070929793070846,98.336,60.81
VR-00012592,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2022-04-01,91.11,72.45,1,0.26,9.76,0.42,11,1795.58,13,84.43,15,11.37,2019-12-01,2022-11-10,21.88,50.25,76.51,0,0,0,75.13,High,False,False,False,2022,4.751328275815495,26,91.11,72.45,24.870000000000005,28.654929793070846,99.23636363636363,65.98
VR-00012593,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2022-05-01,72.82,65.73,1,0.066,48.26,3.67,58,5467.85,13,90.96,15,17.73,2019-12-01,2023-07-31,12.61,70.53,54.23,0,0,0,73.08,High,False,False,False,2022,4.751328275815495,26,72.82,65.73,26.92,30.61392979307084,98.73448275862069,59.78
VR-00012594,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2022-06-01,64.98,68.0,3,0.164,47.83,2.46,57,2739.35,8,83.57,15,15.0,2019-12-01,2023-04-23,6.56,61.72,48.86,0,0,0,61.6,Medium,False,False,False,2022,4.751328275815495,26,64.98,68.0,38.4,28.396929793070843,99.13684210526316,59.9
VR-00012595,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2022-07-01,75.96,67.24333333333334,1,0.397,28.57,3.65,27,16691.33,12,92.69,15,16.52,2019-12-01,2023-04-08,38.2,59.02,73.03,0,0,0,73.57,High,False,False,False,2022,4.751328275815495,26,75.96,67.24333333333334,26.430000000000007,31.132929793070844,92.90007648530573,60.13
VR-00012596,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2022-08-01,77.29,68.0,2,0.387,16.24,0.32,13,71385.57,12,93.33,15,20.62,2019-12-01,2022-10-27,11.2,50.6,65.31,0,0,0,74.38,High,True,False,True,2022,4.751328275815495,26,77.29,68.0,25.620000000000005,31.324929793070844,83.54710117468738,59.14
VR-00012597,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2022-09-01,70.21,76.63,3,0.196,25.78,3.36,26,4161.22,18,100.0,15,22.9,2019-12-01,2023-05-30,4.77,62.37,58.79,0,0,0,75.52,High,False,False,False,2022,4.751328275815495,26,70.21,76.63,24.480000000000004,33.32592979307085,97.41538461538462,60.9
VR-00012598,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2022-10-01,79.54,80.73,1,0.026,12.37,3.16,13,47425.17,19,97.06,15,13.64,2019-12-01,2024-07-17,33.69,77.0,59.74,0,0,0,17.29,Low,False,False,False,2022,4.751328275815495,26,79.54,80.73,82.71000000000001,32.44392979307084,95.13846153846154,75.69
VR-00012599,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2022-11-01,83.61,66.37,4,0.051,21.29,0.35,21,4791.81,8,88.99,15,5.85,2019-12-01,2023-07-29,38.95,61.72,49.45,0,0,0,72.05,High,False,False,False,2022,4.751328275815495,26,83.61,66.37,27.950000000000003,30.022929793070844,98.5769531861594,63.24
VR-00012600,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2022-12-01,65.47,79.45,1,0.069,57.53,4.38,57,44058.14,9,100.0,15,5.98,2019-12-01,2022-06-06,3.39,55.84,70.19,0,0,0,74.94,High,False,True,False,2022,4.751328275815495,26,65.47,79.45,25.060000000000002,33.32592979307085,97.72615111566505,60.2
VR-00012601,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2023-01-01,76.6,73.99,2,0.196,50.14,4.71,42,19918.44,8,92.57,15,9.4,2019-12-01,2023-08-06,23.89,66.32,52.09,0,1,0,73.09,High,False,False,False,2023,74.34193139394316,21,76.6,73.99,26.909999999999997,79.8103519757602,84.76950823408743,67.85
VR-00012602,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2023-02-01,70.65,75.81,1,0.247,43.39,3.4,40,274117.4,10,92.12,15,-1.91,2019-12-01,2024-02-04,7.29,40.51,71.12,0,0,0,68.44,Medium,False,False,False,2023,74.34193139394316,21,70.65,75.81,31.560000000000002,79.67535197576021,92.04971191518783,68.43
VR-00012603,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2023-03-01,57.18,73.99,2,0.243,60.22,0.53,52,87903.86,9,84.72,15,11.58,2019-12-01,2024-02-04,19.21,78.78,42.51,0,0,0,68.6,Medium,False,False,False,2023,74.34193139394316,21,57.18,73.99,31.400000000000006,77.45535197576021,88.876193700023,63.18
VR-00012604,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2023-04-01,81.75,81.0,1,0.188,8.29,0.15,8,78941.07,15,91.45,15,7.44,2019-12-01,2022-07-30,35.08,59.05,61.66,0,0,0,73.5,High,False,True,False,2023,74.34193139394316,21,81.75,81.0,26.5,79.4743519757602,96.82644752714116,72.47
VR-00012605,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2023-05-01,76.14,75.65,0,0.011,39.95,4.85,32,7029.43,6,85.35,15,12.11,2019-12-01,2024-07-06,24.54,43.49,61.16,0,0,0,68.83,Medium,True,False,False,2023,74.34193139394316,21,76.14,75.65,31.17,77.6443519757602,81.04885012515645,68.01
VR-00012606,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2023-06-01,68.34,72.34,6,0.027,40.0,0.24,39,83226.8,11,100.0,15,2.24,2019-12-01,2023-07-31,14.26,99.79,66.41,0,0,0,81.01,High,False,False,True,2023,74.34193139394316,21,68.34,72.34,18.989999999999995,82.03935197576021,97.87692307692308,65.76
VR-00012607,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2023-07-01,77.06,67.53,3,0.104,31.0,0.33,27,12370.41,15,90.83,15,13.84,2019-12-01,2024-05-16,13.35,36.28,47.08,0,0,0,66.82,Medium,False,False,False,2023,74.34193139394316,21,77.06,67.53,33.18000000000001,79.28835197576021,89.43297491039426,68.57
VR-00012608,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2023-08-01,74.36,57.92,3,0.984,27.24,2.76,44,13326.05,10,93.96,15,22.55,2019-12-01,2022-01-18,12.03,69.67,47.51,0,0,0,71.45,High,True,True,False,2023,74.34193139394316,21,74.36,57.92,28.549999999999997,80.2273519757602,98.74545454545455,66.45
VR-00012609,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2023-09-01,68.19,82.84,0,0.142,22.63,2.76,26,14507.0,16,93.65,15,9.86,2019-12-01,2024-10-04,6.32,71.33,64.55,0,0,0,77.75,High,False,False,False,2023,74.34193139394316,21,68.19,82.84,22.25,80.13435197576021,97.87692307692308,68.18
VR-00012610,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2023-10-01,70.49,71.68,0,0.419,17.68,0.73,16,38396.15,14,95.69,15,19.04,2019-12-01,2022-03-29,21.46,61.35,40.15,0,0,0,69.59,Medium,False,True,False,2023,74.34193139394316,21,70.49,71.68,30.409999999999997,80.7463519757602,91.48569004524889,67.4
VR-00012611,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2023-11-01,95.8,71.64,3,0.004,68.15,5.39,51,83001.25,13,96.91,15,14.91,2019-12-01,2024-10-14,25.89,55.48,62.02,0,0,0,76.38,High,True,False,False,2023,74.34193139394316,21,95.8,71.64,23.620000000000005,81.1123519757602,77.75421288104384,71.62
VR-00012612,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2023-12-01,70.14,76.81,4,0.164,7.39,0.99,8,26168.87,14,93.2,15,10.83,2019-12-01,2023-10-18,11.0,79.69,60.03,1,0,0,15.76,Low,False,True,False,2023,74.34193139394316,21,70.14,76.81,84.24,79.9993519757602,97.525,79.88
VR-00012613,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2024-01-01,72.26,83.86,1,0.098,16.36,2.23,18,34021.02,14,80.16,15,22.51,2019-12-01,2022-11-08,12.02,63.88,65.81,0,0,0,75.41,High,False,True,False,2024,50.88302293507198,27,72.26,83.86,24.590000000000003,59.666116054550386,97.52222222222223,66.95
VR-00012614,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2024-02-01,54.07,75.31,4,0.828,63.27,7.37,59,60626.21,10,87.31,15,9.52,2019-12-01,2024-08-22,18.15,83.17,75.97,0,0,0,73.82,High,False,False,False,2024,50.88302293507198,27,54.07,75.31,26.180000000000007,61.81111605455038,92.1026116214341,59.61
VR-00012615,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2024-03-01,71.91,71.15,3,0.523,21.22,0.85,22,88893.5,8,94.39,15,1.3,2019-12-01,2023-02-27,12.28,83.62,62.44,1,0,0,77.77,High,False,True,False,2024,50.88302293507198,27,71.91,71.15,22.230000000000004,63.935116054550384,99.22727272727273,64.72
VR-00012616,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2024-04-01,80.19,60.42,3,0.642,17.21,0.78,22,64508.98,6,89.44,15,4.98,2019-12-01,2023-05-09,38.96,53.38,55.2,1,0,0,66.43,Medium,True,True,False,2024,50.88302293507198,27,80.19,60.42,33.56999999999999,62.45011605455038,99.2909090909091,67.12
VR-00012617,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2024-05-01,67.64,73.14,4,0.007,36.62,5.66,32,39247.96,12,96.84,15,13.55,2019-12-01,2021-12-11,17.41,64.62,60.74,0,0,0,72.61,High,False,True,False,2024,50.88302293507198,27,67.64,73.14,27.39,64.67011605455039,86.36965456034956,63.05
VR-00012618,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2024-06-01,66.56,85.7,0,0.138,29.85,1.38,42,116497.75,10,82.46,15,5.85,2019-12-01,2024-05-01,18.08,61.08,61.8,0,0,0,72.71,High,True,True,False,2024,50.88302293507198,27,66.56,85.7,27.290000000000006,60.356116054550384,99.34285714285714,66.52
VR-00012619,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2024-07-01,74.61,82.05,3,0.17,52.78,1.94,51,9489.21,9,99.97,15,14.05,2019-12-01,2023-03-23,14.44,10.0,75.02,2,0,0,67.4,Medium,False,True,False,2024,50.88302293507198,27,74.61,82.05,32.599999999999994,65.60911605455038,96.5412240227656,69.64
VR-00012620,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2024-08-01,78.24,83.26666666666667,1,0.068,8.88,1.0,10,96199.57,17,91.33,15,9.53,2019-12-01,2023-03-27,25.97,50.21,49.63,0,0,0,69.28,Medium,False,True,False,2024,50.88302293507198,27,78.24,83.26666666666667,30.72,63.017116054550385,98.0,70.42
VR-00012621,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2024-09-01,68.66,78.82,4,0.029,11.5,0.74,12,17278.13,13,90.68,15,9.81,2019-12-01,2024-03-31,11.6,78.23,51.17,0,0,0,76.02,High,False,True,False,2024,50.88302293507198,27,68.66,78.82,23.980000000000004,62.822116054550385,98.76666666666667,65.4
VR-00012622,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2024-10-01,88.66,74.69,4,0.039,54.05,5.16,49,10144.31,17,100.0,15,12.6,2019-12-01,2023-10-28,10.2,84.9,54.97,0,0,0,83.05,High,False,True,False,2024,50.88302293507198,27,88.66,74.69,16.950000000000003,65.61811605455038,90.41931695897601,68.33
VR-00012623,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2024-11-01,73.59,88.92,0,0.064,44.26,0.61,37,4592.36,17,88.64,15,6.36,2019-12-01,2022-10-28,25.76,52.65,40.54,1,0,0,70.77,High,False,True,False,2024,50.88302293507198,27,73.59,88.92,29.230000000000004,62.21011605455038,86.54781206873392,68.02
VR-00012624,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2024-12-01,78.66,79.71,0,0.404,9.05,0.45,8,18746.36,8,95.17,15,17.5,2019-12-01,2024-06-01,12.02,88.72,52.91,0,0,0,81.36,High,False,True,False,2024,50.88302293507198,27,78.66,79.71,18.64,64.16911605455039,89.5932320441989,66.33
VR-00007777,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2021-01-01,58.81,81.09,1,0.432,28.37,0.04,30,41811.04,6,98.0,15,3.66,2019-01-01,2022-05-03,14.85,87.7,40.09,1,0,0,75.04,High,False,False,False,2021,27.56750678742222,28,58.81,81.09,24.959999999999994,48.69725475119555,99.97333333333333,61.15
VR-00007778,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2021-02-01,71.46,81.09,0,0.369,26.56,0.06,26,6670.25,7,89.47,15,10.78,2019-01-01,2022-02-14,26.1,64.74,53.87,1,0,0,73.71,High,False,False,False,2021,27.56750678742222,28,71.46,81.09,26.290000000000006,46.13825475119555,98.26709916589436,64.57
VR-00007779,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2021-03-01,76.23,79.23,6,0.171,50.07,3.04,45,67453.94,11,92.43,15,10.62,2019-01-01,2021-09-26,40.75,100.0,65.09,2,0,0,79.54,High,False,False,False,2021,27.56750678742222,28,76.23,79.23,20.459999999999994,47.02625475119555,90.54822981159711,63.44
VR-00007780,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2021-04-01,64.41,72.54,3,0.416,9.11,0.2,8,436951.79,10,96.41,15,16.76,2019-01-01,2022-03-03,32.55,94.61,69.51,0,1,0,76.24,High,False,False,False,2021,27.56750678742222,28,64.41,72.54,23.760000000000005,48.220254751195554,89.75246981339188,59.28
VR-00007781,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2021-05-01,66.75,82.8,3,0.009,10.13,1.57,12,24723.46,6,90.42,15,7.25,2019-01-01,2021-06-01,25.37,57.87,67.83,0,0,0,71.84,High,False,False,True,2021,27.56750678742222,28,66.75,82.8,28.159999999999997,46.42325475119556,97.38333333333333,63.79
VR-00007782,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2021-06-01,84.36,76.55,2,0.003,59.53,6.05,60,159380.12,15,88.41,15,2.04,2019-01-01,2022-10-21,40.75,48.58,70.31,0,0,0,70.88,High,False,False,False,2021,27.56750678742222,28,84.36,76.55,29.120000000000005,45.82025475119555,97.98333333333333,68.01
VR-00007783,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2021-07-01,81.17,73.05,2,0.457,50.3,2.72,55,42268.38,11,85.7,15,18.88,2019-01-01,2021-02-10,24.88,66.88,59.74,0,0,0,16.15,Low,False,True,False,2021,27.56750678742222,28,81.17,73.05,83.85,45.00725475119555,99.0109090909091,77.33
VR-00007784,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2021-08-01,62.41,68.52,2,0.032,27.38,2.23,22,36128.38,11,100.0,15,-1.51,2019-01-01,2022-09-25,38.21,60.77,64.83,1,0,0,67.21,Medium,True,False,False,2021,27.56750678742222,28,62.41,68.52,32.790000000000006,49.29725475119555,82.25322398565643,58.72
VR-00007785,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2021-09-01,80.78,75.22,2,0.04,22.16,1.49,22,35925.85,15,90.39,15,0.97,2019-01-01,2022-03-12,40.44,17.34,42.42,1,0,0,60.92,Medium,False,False,False,2021,27.56750678742222,28,80.78,75.22,39.08,46.41425475119556,98.06783721693469,68.77
VR-00007786,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2021-10-01,64.42,64.34,6,0.046,35.91,1.1,47,24925.7,16,81.18,15,-5.88,2019-01-01,2022-06-26,41.89,72.76,68.86,0,0,0,67.25,Medium,True,False,False,2021,27.56750678742222,28,64.42,64.34,32.75,43.65125475119555,99.53191489361703,60.22
VR-00007787,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2021-11-01,80.21,81.0,1,0.202,42.74,5.52,49,26097.11,9,93.27,15,14.04,2019-01-01,2023-09-03,5.03,46.8,42.44,1,0,0,73.43,High,False,False,False,2021,27.56750678742222,28,80.21,81.0,26.569999999999993,47.27825475119555,97.7469387755102,67.33
VR-00007788,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2021-12-01,79.42,78.21,1,0.144,19.31,1.86,20,2189346.46,8,94.13,15,16.37,2019-01-01,2022-09-09,27.15,90.37,77.99,0,0,0,81.71,High,False,False,False,2021,27.56750678742222,28,79.42,78.21,18.290000000000006,47.53625475119555,98.14,64.98
VR-00007789,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2022-01-01,65.36,74.49,4,0.127,71.47,6.12,56,30405.85,12,90.0,15,16.67,2019-01-01,2022-06-23,27.63,59.3,73.45,1,0,0,70.3,High,True,False,False,2022,57.99097514266375,27,65.36,74.49,29.700000000000003,67.59368259986462,80.49792920106339,62.66
VR-00007790,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2022-02-01,87.18,72.08,3,0.15,40.87,6.6,42,3451.91,8,83.41,15,16.03,2019-01-01,2021-07-20,13.95,83.56,65.6,0,0,0,80.73,High,False,True,False,2022,57.99097514266375,27,87.18,72.08,19.269999999999996,65.61668259986462,96.85714285714286,68.8
VR-00007791,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2022-03-01,84.47,68.96,1,0.12,36.6,1.97,37,1039.54,6,83.79,15,27.74,2019-01-01,2023-08-05,13.22,69.74,71.79,0,0,0,14.58,Low,False,False,False,2022,57.99097514266375,27,84.47,68.96,85.42,65.73068259986462,98.93513513513514,80.92
VR-00007792,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2022-04-01,83.38,71.39,1,0.626,48.41,0.64,49,16637.76,19,92.26,15,7.46,2019-01-01,2023-06-25,3.12,62.5,43.36,0,0,0,75.72,High,False,False,False,2022,57.99097514266375,27,83.38,71.39,24.28,68.27168259986462,99.73877551020408,69.35
VR-00007793,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2022-05-01,78.95,65.97,0,0.208,45.65,1.31,41,67453.83,12,97.66,15,22.5,2019-01-01,2023-09-12,19.36,47.62,71.15,0,0,0,71.43,High,False,False,False,2022,57.99097514266375,27,78.95,65.97,28.569999999999993,69.89168259986462,91.21201613549542,66.76
VR-00007794,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2022-06-01,83.6,77.71,3,0.322,26.12,0.61,27,83504.61,11,90.17,15,13.14,2019-01-01,2021-09-16,7.93,71.78,24.73,0,0,0,76.1,High,False,True,False,2022,57.99097514266375,27,83.6,77.71,23.900000000000006,67.64468259986462,99.54814814814814,70.48
VR-00007795,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2022-07-01,73.38,76.03,5,0.544,51.15,2.3,56,30060.61,17,83.96,15,18.95,2019-01-01,2021-06-02,28.25,64.71,56.69,1,0,0,71.32,High,False,True,False,2022,57.99097514266375,27,73.38,76.03,28.680000000000007,65.78168259986462,99.17857142857143,67.7
VR-00007796,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2022-08-01,74.97,71.23,1,0.118,18.25,0.98,17,31691.65,11,86.02,15,5.0,2019-01-01,2022-06-04,35.1,100.0,50.28,0,0,0,76.35,High,False,True,False,2022,57.99097514266375,27,74.97,71.23,23.650000000000006,66.39968259986462,93.36760676873489,65.43
VR-00007797,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2022-09-01,73.97,76.48,1,0.225,48.59,1.13,38,39223.72,11,99.83,15,15.08,2019-01-01,2021-12-24,12.57,70.26,72.0,0,0,0,14.81,Low,True,True,False,2022,57.99097514266375,27,73.97,76.48,85.19,70.54268259986462,81.96957680267761,77.4
VR-00007798,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2022-10-01,84.2,69.54,3,0.366,18.09,0.45,24,454185.41,15,95.3,15,8.31,2019-01-01,2023-10-13,39.42,61.37,50.32,0,0,0,70.88,High,True,False,False,2022,57.99097514266375,27,84.2,69.54,29.120000000000005,69.18368259986462,99.625,70.31
VR-00007799,VND-000003,"Becker, Wright and Frazier",Saint Pierre and Miquelon,EMEA,Tier-3,Industrial Parts,2022-11-01,68.38,80.38,4,0.107,9.69,0.82,9,31575.11,16,93.84,15,17.14,2019-01-01,2021-10-30,28.84,52.17,57.02,0,0,0,69.36,Medium,False,True,False,2022,57.99097514266375,27,68.38,80.38,30.64,68.74568259986462,92.4811833505332,66.9
