supplier_rank,vendor_id,vendor_name,vendor_region,vendor_category,as_of_month,months_in_dynamic_window,otd_score,quality_score,risk_performance_score,cost_efficiency_score,lead_time_score,dynamic_supplier_score,vris_score,defect_rate_pct,lead_time_avg_days,contract_lead_time_days,financial_stability_score,past_disruption_count,active_dispute_flag,preferred_vendor_flag,recent_3m_score,prior_3m_score,score_change_3m,trend_class,procurement_spend_12m_usd,spend_percentile,supplier_risk_class,replacement_candidate,recommended_tier,category_rank
15,VND-000117,Parsons Group,APAC,Logistics,2024-12-01,6,95.95,98.81,14.11,63.43,96.81,75.4,90.69,0.001,12.11,14,65.68,0,0,1,75.31,75.19,0.12,Stable,226274.28,0.03,High,False,Approved,4
16,VND-000443,Green-Singleton,Americas,Services,2024-12-01,6,96.05,91.39,23.69,61.44,95.03,75.3,78.27,0.055,17.42,16,70.98,2,0,1,73.78,79.46,-5.68,Deteriorating,227812.08,0.03,High,False,Approved,6
17,VND-001199,Patel-Lewis,MEA,Electronics,2024-12-01,6,87.69,85.73,43.25,56.47,96.41,75.03,67.23,0.142,14.84,17,27.66,0,1,0,75.47,76.95,-1.48,Stable,2580749.47,0.98,High,False,Approved,3
18,VND-000368,"Brown, Cole and Daniels",MEA,Raw Materials,2024-12-01,6,95.42,95.02,22.26,55.17,97.15,74.93,72.47,0.002,15.13,17,64.035,0,0,0,75.36,73.98,1.38,Stable,870040.01,0.72,High,False,Approved,3
19,VND-001071,Curtis Group,MEA,Industrial Parts,2024-12-01,6,96.38,96.71,29.57,41.95,95.25,74.75,76.61,0.063,66.58,57,47.4,0,0,0,74.05,76.3,-2.25,Deteriorating,378555.1,0.17,High,False,Approved,1
20,VND-000224,Avila PLC,MEA,Raw Materials,2024-12-01,6,82.46,91.55,35.26,75.49,88.26,74.66,80.16,0.051,32.64,25,72.59,0,0,0,75.57,75.01,0.57,Stable,908396.92,0.74,High,False,Approved,4
21,VND-000372,Dominguez-Wells,MEA,Electronics,2024-12-01,6,92.1,97.88,17.68,64.42,94.65,74.6,78.59,0.048,25.24,21,64.89,0,0,0,74.69,74.04,0.65,Stable,756302.69,0.65,High,False,Approved,4
22,VND-001135,White-Williams,EMEA,Services,2024-12-01,6,96.12,95.71,17.17,63.94,90.51,74.58,90.74,0.03,13.2,13,92.37,0,0,1,74.84,74.86,-0.02,Stable,519168.96,0.38,High,False,Approved,7
23,VND-000648,Wilson LLC,APAC,Logistics,2024-12-01,6,89.99,89.39,18.8,77.44,94.1,74.37,86.0,0.026,22.55,21,84.03,0,0,0,73.86,75.55,-1.69,Stable,610117.63,0.51,High,False,Approved,5
24,VND-000608,"Camacho, Miller and Holden",EMEA,Raw Materials,2024-12-01,6,90.33,88.39,35.62,51.75,97.87,74.34,82.85,0.162,61.69,57,47.73,0,0,0,75.56,70.7,4.86,Improving,228862.18,0.04,High,False,Approved,5
25,VND-000049,"Grant, Casey and Martinez",MEA,Raw Materials,2024-12-01,6,78.58,75.2,58.64,63.32,95.65,74.19,12.35,0.076,31.49,33,68.39,0,0,0,77.64,65.18,12.46,Improving,1158435.73,0.83,Medium,False,Preferred,6
26,VND-000447,Bolton-Flynn,Americas,Raw Materials,2024-12-01,6,95.83,96.15,23.27,47.41,96.09,74.16,71.42,0.005,48.04,53,20.98,1,0,0,74.54,72.61,1.93,Stable,203275.45,0.02,High,False,Approved,7
27,VND-001011,"Carter, Acevedo and Dennis",Americas,Industrial Parts,2024-12-01,6,89.12,83.18,38.14,62.81,91.5,74.15,74.98,0.15,49.01,40,52.47,0,0,0,69.86,82.08,-12.22,Deteriorating,574500.35,0.47,High,False,Approved,2
28,VND-000310,"Richmond, Daniels and Taylor",APAC,Packaging,2024-12-01,6,84.95,82.64,29.56,81.94,92.81,74.14,80.9,1.427,8.29,7,61.85,0,0,0,74.18,74.69,-0.51,Stable,341867.44,0.14,High,False,Approved,3
29,VND-000065,"Herring, Pratt and Kelley",APAC,Raw Materials,2024-12-01,6,95.75,96.76,21.26,51.07,93.88,74.07,91.59,0.0,20.44,21,71.21,0,0,1,73.4,75.47,-2.08,Deteriorating,578482.57,0.47,High,False,Approved,8
30,VND-001082,"Brock, Hendricks and Campbell",MEA,Packaging,2024-12-01,6,89.58,97.18,19.47,67.28,91.76,74.06,78.54,0.0,52.98,42,49.75,0,0,1,73.24,75.53,-2.29,Deteriorating,550814.98,0.43,High,False,Approved,4
31,VND-000961,Burgess-Huffman,MEA,Packaging,2024-12-01,6,92.93,82.87,21.79,72.77,94.39,73.89,81.46,0.148,12.47,13,91.36,0,0,0,73.41,74.9,-1.49,Stable,869098.64,0.72,High,False,Approved,5
32,VND-000050,Scott-Norman,EMEA,Raw Materials,2024-12-01,6,94.42,93.92,21.4,56.06,93.62,73.84,88.58,0.002,22.26,23,64.93,0,0,1,74.32,72.41,1.91,Stable,417400.26,0.21,High,False,Approved,9
33,VND-001149,Burnett-Stevens,EMEA,Raw Materials,2024-12-01,6,90.06,93.74,35.12,44.58,95.38,73.78,87.12,0.015,12.06,11,94.87,0,0,1,69.42,81.64,-12.23,Deteriorating,2373807.88,0.97,High,False,Approved,10
34,VND-001131,Williams-Price,EMEA,Industrial Parts,2024-12-01,6,97.48,88.39,17.23,63.84,91.18,73.62,81.5,0.073,51.78,57,95.18,0,0,0,74.16,73.18,0.98,Stable,655551.69,0.56,High,False,Approved,3
35,VND-000403,"Smith, Moss and Becker",APAC,Services,2024-12-01,6,92.51,95.36,17.67,56.51,97.57,73.47,85.36,0.0,8.55,11,71.3,0,0,1,73.54,73.5,0.03,Stable,557144.46,0.44,High,False,Approved,8
36,VND-000591,Herring-Berry,EMEA,Logistics,2024-12-01,6,96.25,91.72,19.08,52.03,96.13,73.26,78.8,0.062,34.63,42,62.9,0,0,1,74.49,70.48,4.01,Improving,642661.85,0.55,High,False,Approved,6
37,VND-000707,"Warren, Gallegos and Berry",APAC,Industrial Parts,2024-12-01,6,95.24,94.54,19.61,50.01,95.37,73.21,85.33,0.005,25.61,24,83.73,0,1,0,72.27,74.4,-2.13,Deteriorating,1522885.67,0.93,Critical,True,Replace,4
38,VND-001184,Williams-Roberts,MEA,Industrial Parts,2024-12-01,6,91.63,96.81,26.47,47.02,93.27,73.19,83.22,0.0,13.8,14,67.00999999999999,1,1,1,71.69,77.2,-5.5,Deteriorating,654352.73,0.56,Critical,True,Replace,5
39,VND-000309,"Jones, Sanchez and Luna",APAC,Services,2024-12-01,6,90.35,84.61,32.62,57.28,93.47,73.17,79.24,0.158,31.55,27,40.12,0,0,0,74.79,70.3,4.49,Improving,876306.93,0.72,High,False,Approved,9
40,VND-000335,Campbell Group,Americas,Logistics,2024-12-01,6,86.5,83.69,24.87,74.79,94.71,73.08,73.32,0.296,28.49,25,48.08,0,0,0,72.99,72.99,-0.0,Stable,514747.34,0.37,High,False,Approved,7
41,VND-001167,Kirk Group,APAC,Industrial Parts,2024-12-01,6,82.03,87.93,39.73,54.26,97.59,72.92,7.8,0.123,21.04,25,99.17,1,0,0,72.78,70.68,2.1,Improving,332010.71,0.13,Medium,False,Preferred,6
42,VND-000683,Garcia-Rios,APAC,Services,2024-12-01,6,95.95,93.51,19.05,51.55,92.05,72.84,85.24,0.048,9.27,8,79.22,0,0,1,72.25,73.57,-1.31,Stable,468890.01,0.3,High,False,Approved,10
43,VND-000114,Mitchell-Conner,APAC,Industrial Parts,2024-12-01,6,77.57,73.93,39.73,81.44,97.22,72.8,69.11,0.301,34.52,42,59.66,1,0,0,73.8,70.58,3.22,Improving,686654.71,0.6,Medium,False,Preferred,7
44,VND-001020,Oneill Inc,Americas,Electronics,2024-12-01,6,85.48,88.57,42.03,45.99,94.07,72.77,11.92,0.188,37.79,49,57.46,0,0,0,74.02,67.37,6.65,Improving,559510.3,0.44,Medium,False,Preferred,5
45,VND-000477,Cummings-Hamilton,EMEA,Logistics,2024-12-01,6,88.39,87.72,21.6,66.34,95.85,72.71,80.92,0.031,19.28,18,59.07,0,0,0,73.04,71.68,1.36,Stable,1516575.03,0.92,High,False,Approved,8
46,VND-000625,Johnson-Deleon,MEA,Electronics,2024-12-01,6,91.38,82.93,34.58,51.65,93.41,72.67,80.19,0.131,10.61,11,61.66,0,0,0,76.1,67.8,8.3,Improving,449683.42,0.26,High,False,Approved,6
47,VND-000151,Lucas Group,MEA,Packaging,2024-12-01,6,90.47,86.25,36.63,50.12,89.11,72.6,20.1,0.026,43.68,35,74.74,0,1,0,72.97,69.9,3.07,Improving,599088.41,0.5,High,False,Approved,6
48,VND-000025,Torres Ltd,EMEA,Industrial Parts,2024-12-01,6,87.39,83.88,22.99,76.99,89.38,72.55,77.66,0.125,12.11,10,40.93,0,0,0,71.32,73.81,-2.49,Deteriorating,193807.89,0.01,High,False,Approved,8
49,VND-000645,Perez-Jones,Americas,Packaging,2024-12-01,6,87.27,78.42,54.33,35.02,96.92,72.52,74.71,0.202,12.23,12,72.61,0,0,0,74.71,72.04,2.67,Improving,409109.79,0.2,High,False,Approved,7
50,VND-000320,Kelley Inc,MEA,Packaging,2024-12-01,6,89.78,87.67,23.34,61.48,93.97,72.45,78.73,0.064,27.29,27,63.44,0,0,0,72.78,71.3,1.47,Stable,757425.11,0.66,High,False,Approved,8
51,VND-000356,Sanchez PLC,EMEA,Logistics,2024-12-01,6,82.32,83.42,42.39,61.04,89.55,72.45,79.55,0.035,46.18,34,62.92,0,0,0,71.43,74.72,-3.29,Deteriorating,1014729.09,0.78,High,False,Approved,9
52,VND-001132,Hunter-Ray,EMEA,Logistics,2024-12-01,6,90.85,95.99,17.66,53.9,95.5,72.39,82.07,0.0,22.1,30,64.13,0,0,1,72.43,72.27,0.16,Stable,742276.31,0.64,High,False,Approved,10
53,VND-001172,Bell-Galvan,Americas,Packaging,2024-12-01,6,97.17,93.05,21.85,45.23,89.44,72.33,84.78,0.03,56.38,50,100.0,1,0,1,70.74,76.62,-5.88,Deteriorating,223436.91,0.03,High,False,Approved,9
54,VND-000125,Armstrong PLC,Americas,Raw Materials,2024-12-01,6,85.12,87.56,22.37,69.4,95.95,72.32,75.5,0.268,23.22,24,44.94,1,0,0,73.04,70.8,2.24,Improving,341232.24,0.14,High,False,Approved,11
55,VND-001115,Russell-Wilson,Americas,Industrial Parts,2024-12-01,6,88.45,84.92,40.89,49.12,88.32,72.31,81.8,0.249,33.41,27,82.66,0,0,0,67.24,82.52,-15.28,Deteriorating,1237382.34,0.85,High,False,Approved,9
56,VND-000492,Bradford Group,EMEA,Logistics,2024-12-01,6,93.0,96.15,16.62,47.89,97.74,72.3,84.1,0.013,35.57,38,57.58,0,0,1,73.24,70.64,2.6,Improving,747871.31,0.64,High,False,Approved,11
57,VND-000900,"Scott, Day and Phillips",MEA,Electronics,2024-12-01,6,86.5,83.94,43.78,45.8,92.86,72.29,81.31,0.0,19.88,17,64.74,0,0,0,72.99,71.24,1.75,Stable,196639.28,0.01,High,False,Approved,7
58,VND-000169,"Brown, Graham and Green",Americas,Industrial Parts,2024-12-01,6,85.43,87.78,29.43,57.31,96.13,72.09,76.56,0.07,17.3,20,66.96,0,0,0,71.69,73.37,-1.68,Stable,1374246.59,0.89,High,False,Approved,10
59,VND-000059,Glenn PLC,Americas,Industrial Parts,2024-12-01,6,84.93,90.58,21.52,66.13,94.55,72.0,79.85,0.116,24.06,26,69.15,0,0,0,72.75,70.1,2.65,Improving,320285.33,0.12,High,False,Approved,11
60,VND-000902,Huang-Flores,EMEA,Electronics,2024-12-01,6,88.03,82.92,22.38,65.48,97.99,71.99,78.68,0.025,25.21,28,57.69,0,0,0,73.11,70.05,3.07,Improving,1988859.42,0.96,High,False,Approved,8
61,VND-000740,"Palmer, Lopez and Lloyd",APAC,Logistics,2024-12-01,6,85.69,86.33,32.37,53.8,95.66,71.87,75.5,0.029,39.19,42,33.18,0,0,0,72.27,70.29,1.98,Stable,950383.15,0.75,High,False,Approved,12
62,VND-000185,Rodriguez-Daniel,Americas,Industrial Parts,2024-12-01,6,98.02,94.55,14.25,39.52,97.94,71.79,87.1,0.0,30.76,34,95.99,0,0,0,72.42,70.65,1.77,Stable,1116893.17,0.81,High,False,Approved,12
63,VND-001152,Barnett-Bird,Americas,Industrial Parts,2024-12-01,6,89.08,87.57,22.44,59.35,94.38,71.78,78.05,0.224,8.17,8,50.88,1,0,0,71.88,71.55,0.34,Stable,1072002.53,0.8,High,False,Approved,13
64,VND-000299,"Young, Anderson and Robinson",MEA,Industrial Parts,2024-12-01,6,90.45,86.5,36.3,40.86,92.72,71.73,79.57,0.05,52.5,54,69.6,0,0,0,73.28,68.36,4.93,Improving,636602.47,0.54,High,False,Approved,14
65,VND-000554,Baker PLC,MEA,Electronics,2024-12-01,6,80.89,89.03,28.71,63.41,95.99,71.73,72.19,0.229,20.9,26,53.52,0,0,0,69.82,75.49,-5.66,Deteriorating,1179572.58,0.83,High,False,Approved,9
66,VND-000896,Ray-Hernandez,Americas,Electronics,2024-12-01,6,89.39,85.47,28.57,51.09,96.24,71.72,85.23,0.015,11.61,12,90.51,0,0,0,71.38,73.5,-2.12,Deteriorating,215207.63,0.02,High,False,Approved,10
67,VND-000821,"Pearson, Hall and Hammond",EMEA,Electronics,2024-12-01,6,75.78,81.16,36.25,78.24,90.45,71.52,78.18,0.043,39.21,41,94.68,0,0,0,71.9,71.37,0.53,Stable,602361.49,0.5,High,False,Approved,11
68,VND-001111,Ramos-Cunningham,APAC,Logistics,2024-12-01,6,96.23,97.14,15.72,41.57,92.29,71.52,93.13,0.015,53.22,52,64.66,0,0,1,71.74,70.81,0.93,Stable,788621.61,0.67,High,False,Approved,13
69,VND-000097,"Carter, Larson and May",EMEA,Raw Materials,2024-12-01,6,96.23,96.96,17.5,35.8,95.54,71.46,87.88,0.0,18.99,17,64.79,1,0,1,71.26,71.82,-0.56,Stable,789457.74,0.67,High,False,Approved,12
70,VND-000376,Fowler PLC,MEA,Raw Materials,2024-12-01,6,90.48,93.36,21.43,50.2,92.09,71.45,80.86,0.079,22.65,19,76.46,1,0,1,71.52,71.77,-0.25,Stable,264932.62,0.06,High,False,Approved,13
71,VND-000042,Mitchell-Green,APAC,Industrial Parts,2024-12-01,6,93.43,96.48,19.16,39.15,95.9,71.41,85.47,0.0,38.3,47,83.54,0,0,1,71.17,71.69,-0.53,Stable,1148639.4,0.83,High,False,Approved,15
72,VND-000647,Schmidt PLC,EMEA,Industrial Parts,2024-12-01,6,75.94,73.37,39.39,76.0,97.56,71.37,75.53,0.292,7.56,8,84.75,1,0,0,71.91,71.32,0.58,Stable,786765.43,0.67,High,False,Approved,16
73,VND-000644,"Mendoza, Conrad and Marshall",Americas,Services,2024-12-01,6,84.66,81.82,24.35,66.69,98.07,71.34,73.34,0.89,49.3,50,59.42,0,0,0,71.74,70.51,1.24,Stable,474346.23,0.31,High,False,Approved,11
74,VND-000297,Martin-Clay,Americas,Industrial Parts,2024-12-01,6,91.27,94.18,18.13,51.23,91.58,71.26,86.77,0.035,17.72,18,74.85,0,0,1,71.35,70.74,0.61,Stable,281315.49,0.08,High,False,Approved,17
75,VND-000883,"Evans, Jones and Clark",MEA,Services,2024-12-01,6,85.6,84.76,38.83,47.01,92.02,71.25,76.36,0.082,19.62,17,61.98,0,0,0,72.92,67.94,4.97,Improving,501903.32,0.36,High,False,Approved,12
76,VND-000189,"Rivera, Graves and Huang",APAC,Services,2024-12-01,6,78.94,86.01,54.93,39.43,89.73,71.24,15.18,0.006,70.38,54,68.66,1,0,0,68.86,75.29,-6.43,Deteriorating,228736.07,0.04,Medium,False,Approved,13
77,VND-000932,Jones-Wall,MEA,Raw Materials,2024-12-01,6,76.56,74.78,54.64,55.01,93.92,71.19,17.82,0.279,32.64,40,61.23,0,0,0,69.07,73.28,-4.21,Deteriorating,1312538.95,0.88,Medium,False,Approved,14
78,VND-000957,Velez-Bush,APAC,Industrial Parts,2024-12-01,6,87.22,86.69,20.93,59.39,97.25,71.19,75.01,0.061,44.84,45,51.22,1,0,0,70.25,72.44,-2.19,Deteriorating,581359.35,0.47,High,False,Approved,18
79,VND-000199,Brennan-Carter,EMEA,Industrial Parts,2024-12-01,6,86.6,84.36,23.16,61.39,96.17,71.12,73.6,0.232,42.44,44,46.32,0,0,0,71.51,70.05,1.46,Stable,585159.7,0.48,High,False,Approved,19
80,VND-000978,Neal LLC,Americas,Logistics,2024-12-01,6,81.68,82.62,34.44,61.08,93.34,71.08,75.28,0.031,23.42,39,66.8,0,0,0,70.41,71.94,-1.53,Stable,1623618.41,0.94,High,False,Approved,14
81,VND-000182,Hensley-Harvey,EMEA,Logistics,2024-12-01,6,87.62,84.57,24.95,55.95,96.53,71.06,82.85,0.064,30.06,32,89.48,0,0,0,69.95,74.54,-4.59,Deteriorating,478338.95,0.32,High,False,Approved,15
82,VND-000783,Barron Ltd,Americas,Electronics,2024-12-01,6,91.36,86.39,21.7,51.88,94.98,71.06,72.83,0.01,17.48,23,28.01,0,0,1,70.36,72.39,-2.03,Deteriorating,581729.16,0.48,High,False,Approved,12
83,VND-001164,Roy-Mcintyre,EMEA,Raw Materials,2024-12-01,6,91.75,82.09,33.97,43.07,92.35,71.05,85.16,0.036,50.53,42,94.63,0,0,0,74.11,67.61,6.5,Improving,1062095.7,0.8,High,False,Approved,15
84,VND-000633,"Erickson, Shepherd and Richardson",MEA,Electronics,2024-12-01,6,93.45,91.01,16.1,49.52,94.04,70.99,80.52,0.015,57.15,60,75.13,1,0,1,70.76,71.06,-0.3,Stable,8523836.37,1.0,High,False,Approved,13
85,VND-001026,Rodriguez-Holloway,Americas,Packaging,2024-12-01,6,92.12,91.04,19.87,46.49,94.52,70.97,80.29,0.098,34.75,37,63.58,1,0,1,72.13,68.81,3.31,Improving,1174105.5,0.83,High,False,Approved,10
86,VND-001054,Perez Group,Americas,Services,2024-12-01,6,81.58,77.1,43.33,52.74,94.93,70.71,16.13,0.029,27.68,30,65.825,0,0,0,72.12,66.7,5.42,Improving,1448369.3,0.91,Medium,False,Preferred,14
87,VND-000089,Nelson Inc,APAC,Services,2024-12-01,6,90.64,93.83,18.51,53.74,86.04,70.63,83.21,0.003,50.07,43,82.29,0,0,1,70.26,71.8,-1.54,Stable,779630.16,0.67,High,False,Approved,15
88,VND-000283,Scott LLC,EMEA,Services,2024-12-01,6,82.9,84.73,37.3,47.06,95.18,70.61,70.31,0.011,42.09,36,44.1,0,0,0,72.48,66.86,5.61,Improving,2782177.06,0.98,High,False,Approved,16
89,VND-000519,"Jones, Pollard and Watkins",EMEA,Logistics,2024-12-01,6,91.03,86.37,18.11,50.98,98.18,70.58,82.69,0.08,31.64,33,67.78,1,1,0,70.37,69.91,0.46,Stable,237590.95,0.04,Critical,False,Conditional,16
90,VND-000744,"Moreno, Walter and Sexton",MEA,Electronics,2024-12-01,6,84.92,81.22,34.12,53.83,92.7,70.52,77.69,0.161,42.01,34,71.31,0,0,0,71.59,68.73,2.85,Improving,562401.12,0.45,High,False,Approved,14
91,VND-000449,Elliott Inc,Americas,Industrial Parts,2024-12-01,6,80.5,75.36,41.26,57.41,96.18,70.51,15.25,0.035,21.31,27,72.1,0,0,0,71.23,67.22,4.01,Improving,150855.25,0.0,Medium,False,Preferred,20
92,VND-001099,Bailey-Davies,MEA,Services,2024-12-01,6,80.71,77.52,38.69,58.55,94.73,70.44,73.39,0.342,29.9,29,66.84,1,0,0,71.35,67.32,4.03,Improving,1702668.4,0.95,High,False,Approved,17
93,VND-000389,Mathews Ltd,Americas,Packaging,2024-12-01,6,80.5,83.02,38.5,49.8,96.77,70.44,81.87,0.12,45.56,45,64.36,0,0,0,72.48,66.67,5.81,Improving,369405.5,0.16,High,False,Approved,11
94,VND-000092,Reeves PLC,EMEA,Packaging,2024-12-01,6,75.86,76.13,32.72,75.41,97.33,70.44,75.71,0.041,20.27,20,60.77,0,0,0,69.18,73.24,-4.06,Deteriorating,1007261.33,0.78,High,False,Approved,12
95,VND-000850,"Meadows, Alexander and Duarte",Americas,Services,2024-12-01,6,89.71,83.9,21.43,55.67,94.01,70.43,77.81,0.052,18.69,19,53.0,2,0,0,71.11,68.75,2.35,Improving,829930.15,0.69,High,False,Approved,18
96,VND-000206,Lin and Sons,Americas,Packaging,2024-12-01,6,76.94,71.38,32.67,79.7,97.2,70.43,69.53,0.436,53.77,51,68.9,1,0,0,69.26,74.21,-4.96,Deteriorating,418083.85,0.21,Medium,False,Approved,13
97,VND-000993,Franco-Ramirez,APAC,Electronics,2024-12-01,6,82.17,84.99,21.94,64.75,97.79,70.42,76.73,0.061,34.39,40,69.06,1,0,0,69.12,72.66,-3.54,Deteriorating,533421.28,0.4,High,False,Approved,15
98,VND-000698,Allen LLC,Americas,Raw Materials,2024-12-01,6,77.79,74.47,48.56,54.14,95.43,70.38,81.65,0.08,40.15,48,100.0,0,0,0,73.38,66.27,7.11,Improving,529029.24,0.39,High,False,Approved,16
99,VND-000703,Howard-Williams,MEA,Electronics,2024-12-01,6,75.53,78.37,35.33,68.32,98.04,70.36,79.7,0.053,9.94,12,60.8,1,0,0,73.2,65.12,8.08,Improving,252763.09,0.05,High,False,Approved,16
100,VND-000361,Scott Group,EMEA,Electronics,2024-12-01,6,88.42,84.46,19.54,56.9,96.61,70.35,76.01,0.264,10.48,10,58.64,0,0,0,70.64,70.17,0.48,Stable,909922.76,0.75,High,False,Approved,17
101,VND-000923,Crane-Fuller,APAC,Raw Materials,2024-12-01,6,85.37,85.9,36.13,42.58,92.89,70.34,79.2,0.043,27.11,26,49.06,0,0,0,73.08,65.46,7.62,Improving,1347850.5,0.89,High,False,Approved,17
102,VND-000101,Porter-Booth,MEA,Logistics,2024-12-01,6,97.65,93.48,15.49,33.51,94.82,70.34,91.16,0.0,9.05,9,76.23,1,0,0,69.83,71.11,-1.28,Stable,384309.51,0.18,High,False,Approved,17
103,VND-000448,Rivers-Mcdonald,EMEA,Industrial Parts,2024-12-01,6,90.53,85.36,20.79,49.88,96.38,70.33,77.13,0.019,44.59,54,51.49,0,0,0,70.26,69.34,0.93,Stable,1031634.56,0.79,High,False,Approved,21
104,VND-000488,Park LLC,APAC,Electronics,2024-12-01,6,90.79,96.33,16.94,44.3,91.67,70.28,81.14,0.058,51.44,42,55.22,0,0,1,70.91,70.18,0.73,Stable,561454.06,0.45,High,False,Approved,18
105,VND-000765,"Webb, Wilson and Reed",EMEA,Logistics,2024-12-01,6,80.48,84.32,23.54,72.82,90.6,70.23,77.42,0.013,38.21,34,67.58,0,0,0,70.27,69.64,0.63,Stable,555965.07,0.43,High,False,Approved,18
106,VND-000217,Ellis LLC,APAC,Raw Materials,2024-12-01,6,84.29,77.4,39.33,50.62,92.89,70.16,82.42,0.075,54.76,44,70.75,0,0,0,68.31,74.22,-5.91,Deteriorating,757226.19,0.66,High,False,Approved,18
107,VND-000941,Jones Group,EMEA,Raw Materials,2024-12-01,6,88.22,86.06,27.55,48.63,91.01,70.13,81.06,0.103,11.12,10,56.76,0,0,0,68.53,73.84,-5.3,Deteriorating,457968.72,0.27,High,False,Approved,19
108,VND-001120,Pennington-Hammond,MEA,Industrial Parts,2024-12-01,6,82.4,85.56,32.56,51.56,93.43,70.09,83.08,0.131,35.08,34,99.36,0,0,0,72.73,67.51,5.23,Improving,1304427.32,0.88,High,False,Approved,22
109,VND-000760,Morton-Gonzales,APAC,Services,2024-12-01,6,85.72,84.2,29.65,49.44,94.54,70.08,74.69,0.31,61.68,55,46.36,0,0,0,67.32,74.3,-6.98,Deteriorating,463041.63,0.29,High,False,Approved,19
110,VND-000251,Robinson-Bradley,MEA,Industrial Parts,2024-12-01,6,74.54,79.78,28.69,79.34,94.06,70.07,75.41,0.005,42.07,40,70.65,0,0,0,69.91,69.84,0.07,Stable,672223.69,0.59,High,False,Approved,23
111,VND-001072,Wade Ltd,APAC,Logistics,2024-12-01,6,94.86,95.58,18.12,30.96,94.8,70.06,70.9,0.005,15.83,17,31.72,0,0,1,70.66,68.83,1.83,Stable,751294.08,0.65,High,False,Approved,19
