supplier_rank,vendor_id,vendor_name,vendor_region,vendor_category,as_of_month,months_in_dynamic_window,otd_score,quality_score,risk_performance_score,cost_efficiency_score,lead_time_score,dynamic_supplier_score,vris_score,defect_rate_pct,lead_time_avg_days,contract_lead_time_days,financial_stability_score,past_disruption_count,active_dispute_flag,preferred_vendor_flag,recent_3m_score,prior_3m_score,score_change_3m,trend_class,procurement_spend_12m_usd,spend_percentile,supplier_risk_class,replacement_candidate,recommended_tier,category_rank
82,VND-000783,Barron Ltd,Americas,Electronics,2024-12-01,6,91.36,86.39,21.7,51.88,94.98,71.06,72.83,0.01,17.48,23,28.01,0,0,1,70.36,72.39,-2.03,Deteriorating,581729.16,0.48,High,False,Approved,12
94,VND-000092,Reeves PLC,EMEA,Packaging,2024-12-01,6,75.86,76.13,32.72,75.41,97.33,70.44,75.71,0.041,20.27,20,60.77,0,0,0,69.18,73.24,-4.06,Deteriorating,1007261.33,0.78,High,False,Approved,12
96,VND-000206,Lin and Sons,Americas,Packaging,2024-12-01,6,76.94,71.38,32.67,79.7,97.2,70.43,69.53,0.436,53.77,51,68.9,1,0,0,69.26,74.21,-4.96,Deteriorating,418083.85,0.21,Medium,False,Approved,13
97,VND-000993,Franco-Ramirez,APAC,Electronics,2024-12-01,6,82.17,84.99,21.94,64.75,97.79,70.42,76.73,0.061,34.39,40,69.06,1,0,0,69.12,72.66,-3.54,Deteriorating,533421.28,0.4,High,False,Approved,15
106,VND-000217,Ellis LLC,APAC,Raw Materials,2024-12-01,6,84.29,77.4,39.33,50.62,92.89,70.16,82.42,0.075,54.76,44,70.75,0,0,0,68.31,74.22,-5.91,Deteriorating,757226.19,0.66,High,False,Approved,18
107,VND-000941,Jones Group,EMEA,Raw Materials,2024-12-01,6,88.22,86.06,27.55,48.63,91.01,70.13,81.06,0.103,11.12,10,56.76,0,0,0,68.53,73.84,-5.3,Deteriorating,457968.72,0.27,High,False,Approved,19
109,VND-000760,Morton-Gonzales,APAC,Services,2024-12-01,6,85.72,84.2,29.65,49.44,94.54,70.08,74.69,0.31,61.68,55,46.36,0,0,0,67.32,74.3,-6.98,Deteriorating,463041.63,0.29,High,False,Approved,19
114,VND-001129,Anderson LLC,APAC,Packaging,2024-12-01,6,82.5,85.3,29.54,51.28,97.15,69.98,81.21,0.094,17.2,18,93.64,1,1,0,67.75,73.86,-6.11,Deteriorating,262881.61,0.06,Critical,True,Replace,15
133,VND-000970,"Montoya, Smith and Washington",MEA,Logistics,2024-12-01,6,86.59,81.39,19.3,61.78,94.75,69.59,81.75,0.065,12.53,13,92.08,0,0,0,69.3,71.43,-2.13,Deteriorating,445637.87,0.25,High,False,Approved,24
139,VND-000679,Adams Group,EMEA,Services,2024-12-01,6,71.05,76.36,48.25,60.45,94.23,69.44,17.1,0.018,12.52,15,87.79,0,0,0,67.35,71.44,-4.09,Deteriorating,184730.53,0.01,Medium,False,Approved,23
140,VND-000339,"Whitaker, Williamson and Mitchell",MEA,Logistics,2024-12-01,6,84.05,84.83,28.17,52.36,91.58,69.41,80.7,0.099,15.41,14,88.13,1,0,0,67.63,73.0,-5.38,Deteriorating,1117500.06,0.81,High,False,Approved,26
142,VND-000086,Deleon-Butler,EMEA,Packaging,2024-12-01,6,83.56,80.25,28.23,59.14,91.55,69.37,77.17,0.041,6.44,8,63.68,0,0,0,67.43,74.02,-6.58,Deteriorating,7805375.03,1.0,High,False,Approved,18
146,VND-000741,"Scott, Stewart and Sutton",MEA,Electronics,2024-12-01,6,88.84,81.89,20.46,53.19,94.35,69.25,78.67,0.101,60.45,60,55.28,0,0,0,68.55,70.68,-2.13,Deteriorating,268987.53,0.07,High,False,Approved,21
155,VND-000469,"Knight, Jackson and Barrett",MEA,Electronics,2024-12-01,6,85.02,87.42,24.43,50.19,91.03,69.06,87.03,0.028,50.0,51,67.465,0,0,0,67.8,72.91,-5.11,Deteriorating,2147736.08,0.97,High,False,Approved,23
161,VND-000496,David Ltd,MEA,Industrial Parts,2024-12-01,6,86.68,80.32,22.33,56.1,93.27,68.94,75.11,0.076,29.37,29,64.16,0,0,0,67.99,71.24,-3.26,Deteriorating,989689.66,0.77,High,False,Approved,35
168,VND-001123,"Morris, Glass and Howard",MEA,Electronics,2024-12-01,6,83.63,84.72,30.52,42.01,94.81,68.66,76.15,0.056,43.87,41,53.87,0,0,0,67.1,73.45,-6.34,Deteriorating,471504.69,0.31,High,False,Approved,25
172,VND-000102,Morris-Campbell,EMEA,Raw Materials,2024-12-01,6,85.86,83.24,29.28,44.91,89.75,68.46,79.96,0.131,49.68,41,90.93,0,0,0,65.34,74.29,-8.95,Deteriorating,807034.14,0.69,High,False,Approved,32
177,VND-000788,"Tran, Hays and Burke",Americas,Logistics,2024-12-01,6,71.05,78.17,30.88,71.65,96.78,68.39,63.35,0.484,25.35,29,40.43,1,0,0,67.6,69.95,-2.35,Deteriorating,1240593.89,0.85,Medium,False,Approved,29
185,VND-000383,Avery Inc,MEA,Services,2024-12-01,6,79.62,73.61,35.07,61.87,88.34,68.15,71.52,0.323,51.22,40,51.93,0,0,0,65.87,72.03,-6.17,Deteriorating,625437.84,0.52,High,False,Approved,35
190,VND-000164,"Jordan, Davis and Evans",Americas,Raw Materials,2024-12-01,6,79.17,73.19,24.63,66.52,97.82,67.96,72.62,0.388,36.45,41,54.02,1,0,0,66.56,70.33,-3.77,Deteriorating,521493.96,0.38,High,False,Approved,35
191,VND-000290,"Flores, Pierce and Brown",EMEA,Industrial Parts,2024-12-01,6,79.53,73.78,39.71,45.09,97.02,67.87,72.24,0.058,44.52,49,64.67,0,0,0,64.26,75.7,-11.44,Deteriorating,1036026.72,0.79,High,False,Approved,39
197,VND-001073,"Davis, Webb and Miller",EMEA,Packaging,2024-12-01,6,78.9,75.02,25.44,62.18,97.57,67.72,73.96,0.264,64.43,60,75.0,0,0,0,66.45,69.76,-3.3,Deteriorating,627638.79,0.52,High,False,Approved,25
198,VND-000104,Smith-Carter,MEA,Electronics,2024-12-01,6,85.26,85.53,22.22,41.24,96.03,67.72,81.7,0.063,36.24,32,64.405,1,0,0,67.02,69.42,-2.39,Deteriorating,524002.64,0.39,High,False,Approved,29
200,VND-000954,"Patterson, Morris and White",APAC,Services,2024-12-01,6,79.08,71.74,35.74,56.41,93.35,67.68,70.46,0.632,40.01,37,47.49,0,0,0,65.93,69.05,-3.12,Deteriorating,1929809.54,0.96,High,False,Approved,37
201,VND-000831,Miller-Pace,MEA,Services,2024-12-01,6,77.39,75.0,34.83,56.74,93.24,67.68,68.91,0.412,56.41,58,53.64,0,0,0,66.45,70.52,-4.07,Deteriorating,303073.74,0.1,Medium,False,Approved,38
202,VND-001180,"Sharp, Sullivan and Patrick",EMEA,Services,2024-12-01,6,73.75,75.3,36.96,58.29,95.65,67.67,64.47,0.107,9.41,9,43.13,0,0,0,66.61,69.64,-3.03,Deteriorating,1481636.21,0.92,Medium,False,Approved,39
213,VND-000158,"Brown, Jordan and Sullivan",APAC,Logistics,2024-12-01,6,74.66,71.72,34.15,66.87,92.72,67.51,69.76,0.02,50.29,48,65.35,0,0,0,65.59,70.2,-4.61,Deteriorating,444831.63,0.25,Medium,False,Approved,33
216,VND-001108,"Brown, Hughes and Meyer",EMEA,Industrial Parts,2024-12-01,6,78.95,80.24,23.93,62.15,90.78,67.46,78.75,0.399,49.37,42,98.69,0,0,0,66.84,69.69,-2.85,Deteriorating,487681.74,0.34,High,False,Approved,42
222,VND-000938,Green PLC,MEA,Services,2024-12-01,6,75.03,72.67,28.61,69.58,94.01,67.31,69.39,0.178,19.9,16,43.23,1,0,0,66.49,68.86,-2.37,Deteriorating,420417.77,0.22,Medium,False,Approved,43
224,VND-001187,Brown Group,EMEA,Logistics,2024-12-01,6,83.41,82.66,21.57,48.73,94.0,67.28,82.69,0.071,17.61,17,92.79,0,0,0,65.58,71.07,-5.49,Deteriorating,981667.45,0.77,High,False,Approved,37
228,VND-000629,Lopez-Mendoza,APAC,Logistics,2024-12-01,6,76.34,76.98,39.54,44.2,95.83,67.21,72.61,0.005,11.94,13,54.66,0,0,0,65.22,69.83,-4.61,Deteriorating,514188.21,0.37,High,False,Approved,38
229,VND-000134,Morgan Group,Americas,Electronics,2024-12-01,6,80.05,71.89,24.44,66.37,93.08,67.2,79.28,0.561,66.35,56,88.57,0,0,0,66.24,69.1,-2.86,Deteriorating,1535557.87,0.93,High,False,Approved,33
238,VND-000321,Decker Inc,EMEA,Electronics,2024-12-01,6,85.54,81.27,30.65,29.54,97.52,67.11,72.84,0.26,40.26,38,67.21,0,0,0,65.16,71.21,-6.05,Deteriorating,594260.85,0.5,High,False,Approved,35
246,VND-000202,"Francis, Mata and Young",Americas,Services,2024-12-01,6,86.62,81.41,26.21,37.07,92.39,66.93,88.34,0.139,37.2,32,100.0,0,0,0,65.57,70.4,-4.83,Deteriorating,515691.98,0.38,High,False,Approved,46
249,VND-000776,"Hampton, Duran and Webster",APAC,Raw Materials,2024-12-01,6,81.59,78.81,25.36,48.36,95.46,66.88,72.17,0.015,12.89,16,38.98,0,0,0,65.72,68.6,-2.87,Deteriorating,632710.92,0.54,High,False,Approved,50
250,VND-000017,"Harrison, Oliver and Rivera",Americas,Electronics,2024-12-01,6,76.05,71.03,36.45,55.73,94.77,66.88,63.28,0.229,34.53,39,21.95,0,0,0,65.63,69.5,-3.87,Deteriorating,373993.97,0.17,Medium,False,Approved,39
260,VND-000973,"Clark, Wright and Johnson",APAC,Raw Materials,2024-12-01,6,78.3,75.41,29.45,52.8,95.67,66.73,79.08,0.968,25.63,24,60.01,0,0,0,65.29,70.45,-5.16,Deteriorating,626887.08,0.52,High,False,Approved,56
261,VND-001029,Jordan and Sons,MEA,Services,2024-12-01,6,78.67,75.54,31.61,52.43,92.22,66.73,75.62,0.726,29.72,33,80.64,0,0,0,64.72,69.5,-4.79,Deteriorating,1283188.86,0.87,High,False,Approved,47
267,VND-000298,Foster Ltd,APAC,Packaging,2024-12-01,6,73.13,76.73,37.89,51.08,93.79,66.59,70.14,0.2,18.57,20,59.13,1,0,0,64.92,69.91,-4.99,Deteriorating,476370.96,0.32,High,False,Approved,35
269,VND-000718,Hayes-Mcguire,APAC,Electronics,2024-12-01,6,75.89,77.14,26.97,57.19,95.59,66.51,79.17,0.505,36.57,35,90.86,0,1,0,65.65,68.83,-3.18,Deteriorating,1404080.15,0.9,Critical,True,Replace,42
282,VND-001088,Williams PLC,Americas,Services,2024-12-01,6,67.14,78.75,49.15,41.33,95.72,66.28,17.4,0.021,51.56,53,64.32,1,0,0,64.49,68.1,-3.6,Deteriorating,690424.87,0.6,Medium,False,Approved,51
293,VND-000803,Sheppard Ltd,APAC,Raw Materials,2024-12-01,6,73.81,74.91,25.79,60.08,97.51,65.92,73.28,0.32,11.58,11,47.68,0,0,0,65.25,67.42,-2.17,Deteriorating,791529.93,0.67,High,False,Approved,63
298,VND-000636,"Perry, Duncan and Cobb",EMEA,Industrial Parts,2024-12-01,6,74.13,79.4,33.67,43.03,96.46,65.77,63.42,0.06,21.97,22,72.37,0,0,0,64.71,67.91,-3.21,Deteriorating,728193.83,0.63,Medium,False,Approved,50
304,VND-000077,Lawrence Inc,MEA,Logistics,2024-12-01,6,71.47,74.82,30.84,59.26,94.27,65.6,71.54,0.171,27.02,25,75.77,0,0,0,64.79,67.61,-2.82,Deteriorating,630926.5,0.53,High,False,Approved,49
311,VND-000140,Rodriguez LLC,Americas,Packaging,2024-12-01,6,73.98,78.17,31.12,53.21,89.86,65.51,72.25,0.211,17.46,13,70.49,0,0,0,64.35,69.08,-4.73,Deteriorating,532410.4,0.4,High,False,Approved,41
312,VND-000622,Erickson PLC,Americas,Services,2024-12-01,6,78.72,78.49,27.92,43.06,94.31,65.5,88.21,0.513,47.15,59,99.6,0,0,0,63.79,68.01,-4.22,Deteriorating,268093.72,0.06,High,False,Approved,55
313,VND-000531,Willis Ltd,Americas,Electronics,2024-12-01,6,75.87,72.13,40.39,38.51,96.39,65.5,64.63,0.057,38.28,34,29.81,2,0,0,63.81,68.01,-4.21,Deteriorating,1513440.28,0.92,Medium,False,Approved,51
315,VND-000906,"Cooper, Lawrence and Bowen",APAC,Industrial Parts,2024-12-01,6,78.21,76.37,23.69,49.11,97.65,65.49,76.46,0.189,9.52,11,46.49,0,0,0,64.33,68.2,-3.87,Deteriorating,652538.62,0.56,High,False,Approved,53
316,VND-000967,"Mendoza, Butler and Smith",MEA,Industrial Parts,2024-12-01,6,82.92,75.68,23.55,46.72,91.71,65.49,73.26,0.153,46.95,42,60.28,0,0,0,64.86,67.62,-2.76,Deteriorating,334266.2,0.13,High,False,Approved,54
319,VND-000045,Farmer-Wilson,APAC,Raw Materials,2024-12-01,6,75.95,78.05,26.27,50.98,94.08,65.41,69.94,0.17,20.6,22,61.33,1,0,0,64.11,66.83,-2.72,Deteriorating,697180.54,0.61,Medium,False,Approved,67
320,VND-000402,Turner-Pena,EMEA,Industrial Parts,2024-12-01,6,80.23,77.01,26.29,44.74,93.05,65.4,74.72,0.415,52.63,53,75.52,1,0,0,63.99,67.51,-3.52,Deteriorating,445188.13,0.25,High,False,Approved,55
324,VND-000846,Allen LLC,MEA,Industrial Parts,2024-12-01,6,77.25,75.06,30.7,44.51,95.3,65.3,74.94,0.056,54.72,48,64.44,0,0,0,64.09,69.71,-5.61,Deteriorating,369483.31,0.16,High,False,Approved,56
325,VND-000494,Flores PLC,EMEA,Packaging,2024-12-01,6,74.5,74.37,30.38,51.39,95.05,65.27,68.29,0.031,27.61,36,63.31,0,0,0,64.48,67.56,-3.08,Deteriorating,498245.9,0.35,Medium,False,Approved,42
332,VND-001125,"Brown, Torres and Haynes",MEA,Packaging,2024-12-01,6,74.72,76.73,26.48,52.17,95.19,65.16,76.04,0.266,18.64,17,82.35,0,0,0,64.37,67.21,-2.84,Deteriorating,879028.98,0.73,High,False,Approved,43
339,VND-000009,"Blackwell, Walker and Gilbert",Americas,Industrial Parts,2024-12-01,6,75.81,73.04,29.29,48.73,96.63,65.01,76.97,0.018,24.79,29,71.96,0,0,0,64.34,67.34,-3.0,Deteriorating,1268772.45,0.87,High,False,Approved,61
340,VND-000691,Jefferson-Cobb,EMEA,Services,2024-12-01,6,83.58,84.19,21.18,31.86,93.87,65.01,87.38,0.014,59.19,51,100.0,2,0,0,63.73,66.73,-3.0,Deteriorating,458306.09,0.27,High,False,Approved,59
349,VND-000388,Ortega and Sons,MEA,Electronics,2024-12-01,6,75.25,68.52,33.1,51.66,95.08,64.91,72.46,0.736,46.33,39,63.615,0,0,0,62.93,68.53,-5.6,Deteriorating,1521894.65,0.93,High,False,Approved,59
354,VND-000697,Brown LLC,APAC,Raw Materials,2024-12-01,6,79.53,85.49,21.16,41.36,89.46,64.82,81.47,0.009,54.59,55,80.63,0,0,0,64.02,66.07,-2.05,Deteriorating,1258740.39,0.86,High,False,Approved,72
360,VND-000384,Price-Rodriguez,EMEA,Packaging,2024-12-01,6,73.12,72.3,27.22,58.21,94.07,64.68,74.15,0.025,15.29,16,90.2,0,0,0,63.23,68.28,-5.05,Deteriorating,1631370.93,0.94,High,False,Approved,47
371,VND-001053,Keller Ltd,MEA,Industrial Parts,2024-12-01,6,73.86,68.52,36.52,48.51,94.01,64.54,66.61,0.39,27.37,25,44.3,0,0,0,62.85,67.29,-4.44,Deteriorating,451203.56,0.26,Medium,False,Approved,68
372,VND-000526,"Johnson, Turner and Young",APAC,Packaging,2024-12-01,6,71.6,73.66,32.24,60.18,85.24,64.47,80.82,0.29,50.74,35,100.0,0,0,0,61.43,71.05,-9.62,Deteriorating,321922.24,0.12,High,False,Approved,49
375,VND-000111,Wade Inc,Americas,Electronics,2024-12-01,6,75.11,82.77,24.48,42.87,93.31,64.41,73.34,0.032,45.82,44,67.245,1,0,0,62.97,66.76,-3.79,Deteriorating,712039.75,0.63,High,False,Approved,64
380,VND-000023,King Ltd,APAC,Raw Materials,2024-12-01,6,77.36,72.73,22.44,49.95,96.66,64.23,80.35,0.27,37.44,37,87.93,0,0,0,63.41,65.7,-2.28,Deteriorating,1292366.46,0.87,High,False,Approved,75
381,VND-000630,Travis PLC,EMEA,Industrial Parts,2024-12-01,6,80.63,75.64,23.21,37.93,96.9,64.18,77.34,0.105,23.84,26,58.97,0,0,0,63.26,66.19,-2.93,Deteriorating,800280.79,0.68,High,False,Approved,70
388,VND-000527,Monroe-Rodriguez,MEA,Electronics,2024-12-01,6,73.14,77.06,21.5,55.1,93.94,64.01,82.39,0.158,55.28,58,65.94,0,0,0,63.45,65.58,-2.14,Deteriorating,609081.21,0.51,High,False,Approved,66
392,VND-000895,"Scott, Martinez and Pratt",EMEA,Industrial Parts,2024-12-01,6,73.14,76.84,28.08,42.76,97.14,63.91,66.68,0.725,36.71,46,65.51,2,0,0,62.59,66.56,-3.98,Deteriorating,566237.62,0.46,Medium,False,Approved,71
395,VND-000958,Ramirez PLC,Americas,Services,2024-12-01,6,75.09,70.72,27.39,47.96,96.55,63.83,76.92,0.319,11.07,10,90.05,0,0,0,63.12,65.17,-2.06,Deteriorating,881290.61,0.73,High,False,Approved,69
404,VND-000529,"Bender, Rodriguez and Jenkins",EMEA,Electronics,2024-12-01,6,73.84,73.69,25.83,48.49,95.5,63.65,70.96,0.014,43.63,52,72.99,0,0,0,62.5,65.25,-2.75,Deteriorating,198404.12,0.02,High,False,Approved,69
411,VND-001109,"Wells, Whitaker and Marshall",APAC,Raw Materials,2024-12-01,6,73.99,73.17,28.4,44.38,95.75,63.53,77.59,0.511,29.04,30,74.32,0,0,0,62.65,65.29,-2.64,Deteriorating,1251366.89,0.86,High,False,Approved,79
415,VND-000560,Petersen-Lowe,APAC,Services,2024-12-01,6,68.66,74.16,34.75,47.27,92.8,63.39,67.36,0.142,27.52,23,61.63,1,1,0,61.77,66.2,-4.43,Deteriorating,645245.96,0.55,High,False,Approved,73
418,VND-000249,"Johnson, Kennedy and Moore",EMEA,Logistics,2024-12-01,6,75.19,77.32,25.99,42.73,90.84,63.25,73.81,0.099,39.67,38,64.54,0,0,0,62.55,65.06,-2.52,Deteriorating,856109.04,0.71,High,False,Approved,65
422,VND-001147,Alvarez PLC,EMEA,Raw Materials,2024-12-01,6,80.37,69.97,27.63,37.5,92.12,63.08,71.97,0.182,34.61,27,53.23,0,0,0,62.3,64.87,-2.57,Deteriorating,606333.55,0.5,High,False,Approved,80
429,VND-000088,Murray-Taylor,EMEA,Raw Materials,2024-12-01,6,74.87,72.23,24.61,45.19,93.48,62.63,84.13,0.275,28.85,28,95.01,0,0,0,61.89,64.82,-2.94,Deteriorating,555475.09,0.43,High,False,Approved,82
430,VND-000006,Weeks and Sons,Americas,Raw Materials,2024-12-01,6,74.16,76.78,26.93,40.77,90.04,62.61,71.54,0.511,56.07,49,63.445,0,0,0,61.84,65.41,-3.57,Deteriorating,663837.34,0.57,High,False,Approved,83
431,VND-000798,Castro Group,APAC,Industrial Parts,2024-12-01,6,75.3,74.15,28.82,39.83,89.39,62.57,78.29,0.323,69.51,54,65.61,0,0,0,61.06,65.09,-4.04,Deteriorating,542416.89,0.41,High,False,Approved,77
432,VND-000304,"Martinez, Davis and Mcdonald",Americas,Electronics,2024-12-01,6,67.86,72.48,38.52,38.03,95.23,62.55,74.09,0.303,45.43,47,81.63,0,0,0,59.79,68.24,-8.44,Deteriorating,479194.66,0.32,High,False,Approved,74
435,VND-000758,Martin LLC,Americas,Industrial Parts,2024-12-01,6,77.44,72.72,24.58,42.02,89.44,62.41,82.51,0.721,29.17,25,99.87,0,0,0,61.13,65.04,-3.91,Deteriorating,495130.1,0.35,High,False,Approved,79
436,VND-001086,Simmons-Delgado,APAC,Logistics,2024-12-01,6,72.18,72.76,25.21,44.14,96.6,62.36,83.68,0.329,24.93,26,100.0,0,0,0,61.95,64.35,-2.41,Deteriorating,273712.6,0.07,High,False,Approved,68
438,VND-000611,Jones and Sons,APAC,Industrial Parts,2024-12-01,6,72.58,74.17,29.59,35.44,95.77,62.21,81.86,0.225,22.78,26,91.0,0,1,0,60.47,66.54,-6.07,Deteriorating,492367.59,0.34,Critical,True,Replace,80
441,VND-000490,Peterson and Sons,EMEA,Industrial Parts,2024-12-01,6,76.92,69.25,25.69,40.76,93.11,62.14,75.7,0.095,43.41,40,81.51,0,0,0,61.3,63.56,-2.26,Deteriorating,485224.58,0.33,High,False,Approved,81
451,VND-000670,Cook-Richmond,MEA,Logistics,2024-12-01,6,71.11,72.17,34.91,34.29,90.63,61.49,74.94,0.51,54.93,44,63.11,1,0,0,60.51,64.25,-3.74,Deteriorating,268368.73,0.06,High,False,Approved,71
454,VND-000052,Martinez-Daniels,MEA,Packaging,2024-12-01,6,70.77,75.75,26.31,32.82,98.0,61.27,70.27,0.313,29.85,31,68.26,0,0,0,60.18,63.94,-3.76,Deteriorating,889313.46,0.73,High,False,Approved,61
459,VND-000843,Hernandez-Roth,Americas,Services,2024-12-01,6,70.75,73.72,25.51,31.98,97.97,60.56,76.84,0.059,56.97,59,94.71,0,0,0,60.07,62.1,-2.03,Deteriorating,462032.52,0.28,High,False,Approved,82
