finance_record_id,record_date,fiscal_week,fiscal_quarter,fiscal_year,order_id,vendor_id,shipment_id,transaction_type,revenue_usd,procurement_cost_usd,logistics_cost_usd,operational_cost_usd,sla_penalty_usd,gross_profit_usd,ebitda_usd,accounts_receivable_usd,accounts_payable_usd,inventory_value_usd,working_capital_usd,working_capital_ratio,cash_flow_usd,cash_position_usd,days_sales_outstanding,days_payable_outstanding,cash_conversion_cycle,financial_risk_score,risk_flag,cash_flow_sign_issue_flag,procurement_gt_revenue_flag
FIN-0000020742,2021-01-01,53,Q1,2021,,,,Revenue,1223.5,0.0,0.0,0.0,0.0,1223.5,1223.5,100889.91,19273.51,63055.05,144671.45,8.5062,382024.44,-8636797.68,55.79,69.29,45.14,21.31,0,True,False
FIN-0000021242,2021-01-01,53,Q1,2021,ORD-00009690,,,SLA Penalty,0.0,0.0,0.0,0.0,4169.78,0.0,0.0,53650.31,66528.83,166502.04,153623.52,3.3091,-942240.0,-9579037.68,56.6,58.26,40.28,21.02,0,False,False
FIN-0000025448,2021-01-01,53,Q1,2021,ORD-00007072,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305196.83,5742.82,76484.55,375938.56,66.4624,-497870.58,-10076908.26,80.75,68.89,35.79,20.0,0,True,False
FIN-0000026330,2021-01-01,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296413.55,76059.37,70729.41,291083.59,4.8271,-654620.74,-10731529.0,71.83,49.17,57.07,23.62,0,False,False
FIN-0000029404,2021-01-01,53,Q1,2021,ORD-00039461,,,Revenue,3028.55,0.0,0.0,0.0,0.0,3028.55,3028.55,14549.98,113692.59,48237.34,-50905.27,0.5523,109646.01,-10621882.99,53.61,94.97,0.73,30.87,1,True,False
FIN-0000029630,2021-01-01,53,Q1,2021,,,SHP-00014866,Logistics Cost,0.0,0.0,2497.47,0.0,0.0,0.0,-2497.47,75179.5,235522.23,362212.66,201869.93,1.8571,-3834.12,-10625717.11,74.3,62.67,53.93,22.68,0,False,False
FIN-0000035089,2021-01-01,53,Q1,2021,,,SHP-00039941,Logistics Cost,0.0,0.0,2689.33,0.0,0.0,0.0,-2689.33,42688.28,33560.04,101319.24,110447.48,4.291,-119015.25,-10744732.36,59.79,43.79,56.42,61.34,0,True,False
FIN-0000036627,2021-01-01,53,Q1,2021,ORD-00027028,VND-001073,,Procurement,0.0,64523.68,0.0,0.0,0.0,-64523.68,0.0,20133.83,47519.45,151974.62,124589.0,3.6219,-1553703.23,-12298435.59,68.56,85.56,26.32,20.0,0,True,False
FIN-0000037287,2021-01-01,53,Q1,2021,ORD-00010977,,SHP-00084356,Logistics Cost,0.0,0.0,13127.74,0.0,0.0,0.0,-13127.74,11982.89,112183.55,254657.95,154457.29,2.3768,-436344.22,-12734779.81,67.5,58.07,55.95,23.28,0,False,False
FIN-0000040330,2021-01-01,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26345.79,5819.33,352443.33,372969.79,65.0915,-242713.73,-12977493.54,57.17,65.68,37.85,20.85,0,True,False
FIN-0000040332,2021-01-01,53,Q1,2021,ORD-00001148,,,Revenue,6668.54,0.0,0.0,0.0,0.0,6668.54,6668.54,84074.89,55069.99,153866.01,182870.91,4.3207,508390.05,-12469103.49,34.95,77.32,6.58,27.52,0,False,False
FIN-0000040899,2021-01-01,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10189.61,326418.52,325565.45,9336.54,1.0286,-485049.57,-12954153.06,31.0,50.55,25.16,53.41,0,False,False
FIN-0000041758,2021-01-01,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51073.24,169550.69,46997.39,-71480.06,0.5784,-723337.66,-13677490.72,57.63,88.24,18.06,29.14,1,True,False
FIN-0000044456,2021-01-01,53,Q1,2021,ORD-00003831,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56346.27,27572.2,91318.07,120092.14,5.3556,-435305.93,-14112796.65,55.35,33.93,79.11,31.63,0,True,False
FIN-0000044668,2021-01-01,53,Q1,2021,,VND-000811,,Procurement,0.0,11408.59,0.0,0.0,0.0,-11408.59,0.0,274262.13,145439.78,244766.18,373588.53,3.5687,-411214.4,-14524011.05,67.32,82.78,38.98,20.0,0,False,False
FIN-0000046669,2021-01-01,53,Q1,2021,ORD-00089610,VND-000306,,Procurement,0.0,15769.5,0.0,0.0,0.0,-15769.5,0.0,56263.24,7303.54,373290.48,422250.18,58.8145,-451793.41,-14975804.46,56.23,49.3,45.02,21.14,0,True,False
FIN-0000047073,2021-01-01,53,Q1,2021,,,,Revenue,110532.25,0.0,0.0,0.0,0.0,110532.25,110532.25,29236.71,34275.93,22639.02,17599.8,1.5135,574411.13,-14401393.33,78.25,70.67,49.18,21.25,0,True,False
FIN-0000047168,2021-01-01,53,Q1,2021,ORD-00051905,VND-000330,,Procurement,0.0,1753.58,0.0,0.0,0.0,-1753.58,0.0,142657.89,51791.7,15034.8,105900.99,3.0447,-429850.28,-14831243.61,60.04,55.87,48.09,20.93,0,False,False
FIN-0000048767,2021-01-01,53,Q1,2021,,,,SLA Penalty,0.0,0.0,0.0,0.0,14367.7,0.0,0.0,34862.76,6421.67,393624.85,422065.94,66.7253,-715241.74,-15546485.35,68.09,57.22,44.89,20.0,0,False,False
FIN-0000049595,2021-01-01,53,Q1,2021,,VND-000703,,Procurement,0.0,5197.76,0.0,0.0,0.0,-5197.76,0.0,579016.23,40912.61,159362.04,697465.66,18.0477,-332046.27,-15878531.62,45.3,61.75,20.11,24.41,0,True,False
FIN-0000049717,2021-01-01,53,Q1,2021,,,,Operational Expense,0.0,0.0,0.0,2331.93,0.0,0.0,-2331.93,13643.29,10407.91,100738.52,103973.9,10.9899,-42679.96,-15921211.58,49.09,70.25,15.66,23.27,0,False,False
FIN-0000050945,2021-01-01,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54545.07,11831.2,95910.95,138624.82,12.7169,-208905.9,-16130117.48,40.87,51.32,42.32,25.74,0,False,False
FIN-0000051354,2021-01-01,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77315.46,11620.8,64461.79,130156.45,12.2003,-375923.46,-16506040.94,88.84,61.02,69.92,27.48,0,True,False
FIN-0000053864,2021-01-01,53,Q1,2021,ORD-00037915,,,Operational Expense,0.0,0.0,0.0,3743.75,0.0,0.0,-3743.75,45738.96,48662.42,140489.05,137565.59,3.8269,-32171.95,-16538212.89,53.9,82.17,18.54,21.83,0,False,False
FIN-0000054843,2021-01-01,53,Q1,2021,,,,Operational Expense,0.0,0.0,0.0,1709.9,0.0,0.0,-1709.9,3247.91,55531.85,72765.21,20481.27,1.3688,-704654.41,-17242867.3,62.06,65.12,29.64,20.0,0,True,False
FIN-0000054898,2021-01-01,53,Q1,2021,,,,SLA Penalty,0.0,0.0,0.0,0.0,11796.69,0.0,0.0,66982.44,263753.67,85059.28,-111711.95,0.5765,-1773343.57,-19016210.87,50.35,80.67,14.17,31.36,1,True,False
FIN-0000055977,2021-01-01,53,Q1,2021,,,,Revenue,6080.61,0.0,0.0,0.0,0.0,6080.61,6080.61,316086.37,104134.15,102277.13,314229.35,4.0175,553968.42,-18462242.45,54.4,77.84,25.15,21.68,0,False,False
FIN-0000057175,2021-01-01,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294759.11,78709.69,109428.07,325477.49,5.1352,-820700.4,-19282942.85,46.02,57.74,25.22,24.19,0,False,False
FIN-0000057259,2021-01-01,53,Q1,2021,ORD-00071669,,,Revenue,117157.85,0.0,0.0,0.0,0.0,117157.85,117157.85,16402.37,48299.46,64365.86,32468.77,1.6722,168966.6,-19113976.25,48.56,66.92,29.98,23.43,0,False,False
FIN-0000058452,2021-01-01,53,Q1,2021,ORD-00067023,,SHP-00029538,Logistics Cost,0.0,0.0,3035.26,0.0,0.0,0.0,-3035.26,115471.87,90500.37,66895.98,91867.48,2.0151,-88058.74,-19202034.99,48.05,81.29,11.81,23.58,0,False,False
FIN-0000059552,2021-01-01,53,Q1,2021,ORD-00039533,,,Operational Expense,0.0,0.0,0.0,3937.74,0.0,0.0,-3937.74,3678.17,23070.48,72359.83,52967.52,3.2959,-717399.03,-19919434.02,46.9,59.6,22.05,23.93,0,True,False
FIN-0000060156,2021-01-01,53,Q1,2021,,,,Revenue,674560.82,0.0,0.0,0.0,0.0,674560.82,674560.82,17459.66,5288.66,675929.81,688100.81,131.1087,303202.23,-19616231.79,60.29,67.55,48.98,21.19,0,False,False
FIN-0000064570,2021-01-01,53,Q1,2021,,,,Revenue,37606.92,0.0,0.0,0.0,0.0,37606.92,37606.92,151669.36,2975.38,359315.25,508009.23,171.7376,129818.1,-19486413.69,63.01,78.32,30.73,20.0,0,False,False
FIN-0000065151,2021-01-01,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44316.04,148212.65,63960.16,-39936.45,0.7305,-252332.59,-19738746.28,59.2,74.09,21.7,25.63,1,True,False
FIN-0000065174,2021-01-01,53,Q1,2021,,VND-000039,,Procurement,0.0,3983.27,0.0,0.0,0.0,-3983.27,0.0,139511.45,30781.3,7910.95,116641.1,4.7893,-317781.86,-20056528.14,39.29,57.1,27.48,26.21,0,False,False
FIN-0000005189,2021-01-02,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261293.87,248076.79,48647.47,61864.55,1.2494,-171911.07,-20228439.21,43.2,91.5,6.88,25.04,0,False,False
FIN-0000005773,2021-01-02,53,Q1,2021,ORD-00067909,VND-001097,,Procurement,0.0,22040.3,0.0,0.0,0.0,-22040.3,0.0,84761.25,13972.85,48118.73,118907.13,9.5099,-240568.86,-20469008.07,44.3,38.24,65.22,30.78,0,False,False
FIN-0000006376,2021-01-02,53,Q1,2021,ORD-00087142,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83035.21,83538.12,33251.09,32748.18,1.392,-436730.12,-20905738.19,53.31,75.88,45.06,22.02,0,False,False
FIN-0000006772,2021-01-02,53,Q1,2021,ORD-00086465,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19489.12,20719.99,55079.28,53848.41,3.5989,-570546.1,-21476284.29,56.81,52.02,57.73,24.78,0,True,False
FIN-0000006835,2021-01-02,53,Q1,2021,ORD-00010385,,,Operational Expense,0.0,0.0,0.0,4027.58,0.0,0.0,-4027.58,177073.25,92452.82,251954.23,336574.66,4.6405,-904439.98,-22380724.27,62.04,65.67,50.42,21.63,0,False,False
FIN-0000007582,2021-01-02,53,Q1,2021,ORD-00039019,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178103.69,3470.87,159226.82,333859.64,97.189,-920415.2,-23301139.47,58.17,66.52,37.92,20.55,0,True,False
FIN-0000007739,2021-01-02,53,Q1,2021,,,SHP-00012007,Logistics Cost,0.0,0.0,4135.35,0.0,0.0,0.0,-4135.35,31688.7,17753.98,303595.81,317530.53,18.885,-670307.33,-23971446.8,76.93,70.66,78.72,30.12,0,True,False
FIN-0000008124,2021-01-02,53,Q1,2021,ORD-00061412,,,Revenue,229728.95,0.0,0.0,0.0,0.0,229728.95,229728.95,153853.35,33607.7,73127.16,193372.81,6.7538,185409.35,-23786037.45,66.38,64.1,42.47,20.0,0,False,False
FIN-0000008946,2021-01-02,53,Q1,2021,ORD-00039554,,,Revenue,4177.88,0.0,0.0,0.0,0.0,4177.88,4177.88,103092.82,53362.61,47166.14,96896.35,2.8158,138167.05,-23647870.4,69.67,65.66,50.1,21.53,0,False,False
FIN-0000015458,2021-01-02,53,Q1,2021,ORD-00022413,,,Revenue,70174.48,0.0,0.0,0.0,0.0,70174.48,70174.48,55855.54,13581.33,10648.19,52922.4,4.8967,274059.63,-23373810.77,44.48,81.2,6.56,24.66,0,False,False
FIN-0000018204,2021-01-02,53,Q1,2021,ORD-00066738,VND-000462,,Procurement,0.0,67106.69,0.0,0.0,0.0,-67106.69,0.0,29899.54,14643.49,290311.23,305567.28,21.8671,-195904.24,-23569715.01,61.51,67.57,40.34,20.0,0,True,False
FIN-0000018520,2021-01-02,53,Q1,2021,,,SHP-00077450,Logistics Cost,0.0,0.0,897.59,0.0,0.0,0.0,-897.59,46096.54,19182.77,8290.79,35204.56,2.8352,-842360.16,-24412075.17,57.4,92.57,4.39,20.78,0,False,False
FIN-0000019032,2021-01-02,53,Q1,2021,,,SHP-00031550,Logistics Cost,0.0,0.0,723.38,0.0,0.0,0.0,-723.38,27618.8,96463.77,156839.89,87994.92,1.9122,-312562.59,-24724637.76,68.13,62.73,47.43,20.73,0,True,False
FIN-0000021703,2021-01-02,53,Q1,2021,,,,Operational Expense,0.0,0.0,0.0,1258.64,0.0,0.0,-1258.64,140013.98,33658.25,320861.22,427216.95,13.6928,-109087.06,-24833724.82,61.88,102.21,6.35,20.0,0,True,False
FIN-0000025442,2021-01-02,53,Q1,2021,,,SHP-00045693,Logistics Cost,0.0,0.0,7136.33,0.0,0.0,0.0,-7136.33,626982.33,16538.75,429313.71,1039757.29,63.8679,-215149.34,-25048874.16,69.04,87.52,26.88,20.0,0,True,False
FIN-0000026078,2021-01-02,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64602.6,48968.5,475284.97,490919.07,11.0252,-235619.35,-25284493.51,49.94,73.93,31.52,23.02,0,True,False
FIN-0000026565,2021-01-02,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54713.26,10389.59,396768.34,441092.01,43.4552,-428880.85,-25713374.36,69.62,81.03,31.14,20.0,0,False,False
FIN-0000029381,2021-01-02,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223317.13,193053.3,524850.04,555113.87,3.8754,-67306.67,-25780681.03,49.76,59.47,37.75,23.07,0,False,False
FIN-0000029885,2021-01-02,53,Q1,2021,ORD-00085408,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99664.19,30446.26,100205.13,169423.06,6.5647,-294674.94,-26075355.97,55.2,87.36,30.86,21.44,0,False,False
FIN-0000030452,2021-01-02,53,Q1,2021,ORD-00067642,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519157.59,23223.62,132600.99,628534.96,28.0645,-242006.71,-26317362.68,71.92,77.77,30.45,20.0,0,True,False
FIN-0000031102,2021-01-02,53,Q1,2021,ORD-00065123,,,Operational Expense,0.0,0.0,0.0,7219.76,0.0,0.0,-7219.76,88340.78,8396.43,20697.98,100642.33,12.9863,-20769.59,-26338132.27,45.95,66.05,26.59,24.22,0,True,False
FIN-0000035083,2021-01-02,53,Q1,2021,ORD-00040116,,,Revenue,77050.49,0.0,0.0,0.0,0.0,77050.49,77050.49,215372.54,109108.45,216309.67,322573.76,3.9565,1359833.96,-24978298.31,43.67,58.91,33.4,24.9,0,False,False
FIN-0000040276,2021-01-02,53,Q1,2021,ORD-00017186,VND-000540,,Procurement,0.0,8096.43,0.0,0.0,0.0,-8096.43,0.0,52639.52,149545.54,113486.29,16580.27,1.1109,-787976.04,-25766274.35,38.82,70.07,-1.91,26.35,0,False,False
FIN-0000040311,2021-01-02,53,Q1,2021,,VND-000771,,Procurement,0.0,13650.18,0.0,0.0,0.0,-13650.18,0.0,68973.1,76141.85,17317.4,10148.65,1.1333,-387916.87,-26154191.22,65.29,74.26,33.46,20.0,0,False,False
FIN-0000041326,2021-01-02,53,Q1,2021,ORD-00054993,,,Operational Expense,0.0,0.0,0.0,989.23,0.0,0.0,-989.23,187433.77,44335.18,18252.07,161350.66,4.6393,-449237.92,-26603429.14,76.2,79.15,57.51,23.75,0,False,False
FIN-0000041891,2021-01-02,53,Q1,2021,ORD-00024343,VND-001117,,Procurement,0.0,23160.66,0.0,0.0,0.0,-23160.66,0.0,86009.17,10743.79,56192.26,131457.64,13.2357,-1323802.04,-27927231.18,55.72,80.2,11.77,21.28,0,True,False
FIN-0000046363,2021-01-02,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47074.22,60997.19,113571.19,99648.22,2.6337,-544502.09,-28471733.27,49.08,87.21,13.29,56.74,0,True,False
FIN-0000048674,2021-01-02,53,Q1,2021,ORD-00077148,,,Revenue,56649.73,0.0,0.0,0.0,0.0,56649.73,56649.73,87414.36,12551.34,220745.73,295608.75,24.552,1017772.41,-27453960.86,54.84,77.07,15.09,54.64,0,False,False
FIN-0000049997,2021-01-02,53,Q1,2021,,VND-000764,,Procurement,0.0,34299.03,0.0,0.0,0.0,-34299.03,0.0,133667.36,63626.63,66431.7,136472.43,3.1449,-182188.59,-27636149.45,59.84,51.5,37.02,20.05,0,False,False
FIN-0000054238,2021-01-02,53,Q1,2021,,,,Operational Expense,0.0,0.0,0.0,3483.92,0.0,0.0,-3483.92,36048.3,68758.53,87785.37,55075.14,1.801,-1310457.2,-28946606.65,65.41,70.99,45.06,68.45,0,False,False
FIN-0000055285,2021-01-02,53,Q1,2021,ORD-00019313,,SHP-00063860,Logistics Cost,0.0,0.0,16865.27,0.0,0.0,0.0,-16865.27,5698.98,56698.92,92467.13,41467.19,1.7314,-424344.62,-29370951.27,73.45,60.12,46.19,20.36,0,False,False
FIN-0000056682,2021-01-02,53,Q1,2021,,,,Revenue,66911.46,0.0,0.0,0.0,0.0,66911.46,66911.46,777704.27,742821.4,177075.48,211958.35,1.2853,57602.14,-29313349.13,47.92,74.61,11.64,23.62,0,True,False
FIN-0000057279,2021-01-02,53,Q1,2021,ORD-00057879,,,SLA Penalty,0.0,0.0,0.0,0.0,3194.22,0.0,0.0,123855.35,42182.67,496204.27,577876.95,14.6994,-586939.08,-29900288.21,69.5,89.21,18.42,20.0,0,False,False
FIN-0000059982,2021-01-02,53,Q1,2021,,VND-001073,,Procurement,0.0,3822.41,0.0,0.0,0.0,-3822.41,0.0,98297.94,49512.28,82178.65,130964.31,3.6451,-292781.4,-30193069.61,64.16,63.7,41.27,20.0,0,True,False
FIN-0000060030,2021-01-02,53,Q1,2021,,,,Operational Expense,0.0,0.0,0.0,1205.18,0.0,0.0,-1205.18,13913.04,44538.46,187698.94,157073.52,4.5267,-198670.86,-30391740.47,51.35,59.88,28.52,56.84,0,True,False
FIN-0000061369,2021-01-02,53,Q1,2021,ORD-00083960,,SHP-00077563,Logistics Cost,0.0,0.0,1463.56,0.0,0.0,0.0,-1463.56,126440.12,58684.17,90425.58,158181.53,3.6955,-434966.99,-30826707.46,40.54,28.56,51.12,58.07,0,False,False
FIN-0000061710,2021-01-02,53,Q1,2021,ORD-00064616,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58765.57,26610.04,35634.2,67789.73,3.5475,-927062.39,-31753769.85,35.95,63.17,24.53,27.22,0,False,False
FIN-0000063276,2021-01-02,53,Q1,2021,ORD-00056281,VND-000140,,Procurement,0.0,80774.12,0.0,0.0,0.0,-80774.12,0.0,119683.36,111395.24,28041.3,36329.42,1.3261,-281144.06,-32034913.91,63.27,67.84,28.74,20.0,0,True,False
FIN-0000063638,2021-01-02,53,Q1,2021,,,SHP-00010078,Logistics Cost,0.0,0.0,1367.44,0.0,0.0,0.0,-1367.44,967530.74,37301.74,101469.04,1031698.04,28.6582,-1619037.52,-33653951.43,65.59,72.11,28.37,20.0,0,True,False
FIN-0000064621,2021-01-02,53,Q1,2021,ORD-00063546,VND-000807,,Procurement,0.0,47507.09,0.0,0.0,0.0,-47507.09,0.0,326684.09,66333.46,82818.55,343169.18,6.1734,-585247.24,-34239198.67,51.4,79.4,27.86,22.58,0,False,False
FIN-0000065251,2021-01-02,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77104.51,157930.75,327811.76,246985.52,2.5639,-1542038.03,-35781236.7,54.18,70.48,28.38,21.75,0,True,False
FIN-0000000441,2021-01-03,53,Q1,2021,ORD-00046163,,,Revenue,32915.71,0.0,0.0,0.0,0.0,32915.71,32915.71,262620.48,915504.51,80435.45,-572448.58,0.3747,629151.19,-35152085.51,59.13,95.85,6.3,32.77,1,True,False
FIN-0000000545,2021-01-03,53,Q1,2021,,,,Revenue,39085.37,0.0,0.0,0.0,0.0,39085.37,39085.37,244750.3,70939.95,443465.11,617275.46,9.7014,1873388.26,-33278697.25,57.73,52.81,54.55,23.55,0,False,False
FIN-0000002858,2021-01-03,53,Q1,2021,ORD-00019861,,,Revenue,28318.3,0.0,0.0,0.0,0.0,28318.3,28318.3,113046.81,14081.03,106114.14,205079.92,15.5643,1178761.14,-32099936.11,56.21,79.76,14.17,55.07,0,False,False
FIN-0000002922,2021-01-03,53,Q1,2021,,,,SLA Penalty,0.0,0.0,0.0,0.0,23096.65,0.0,0.0,16687.55,5797.13,43015.91,53906.33,10.2988,-276029.4,-32375965.51,52.38,98.9,-0.11,22.29,0,True,False
FIN-0000002966,2021-01-03,53,Q1,2021,,,,Operational Expense,0.0,0.0,0.0,936.69,0.0,0.0,-936.69,82592.98,21614.92,32749.78,93727.84,5.3363,-423465.82,-32799431.33,40.82,78.93,20.91,25.75,0,True,False
FIN-0000003345,2021-01-03,53,Q1,2021,,,,Revenue,49161.79,0.0,0.0,0.0,0.0,49161.79,49161.79,18663.19,96839.52,44077.54,-34098.79,0.6479,579840.64,-32219590.69,81.45,51.6,62.19,32.2,1,False,False
FIN-0000004150,2021-01-03,53,Q1,2021,ORD-00026189,,SHP-00068325,Logistics Cost,0.0,0.0,342.22,0.0,0.0,0.0,-342.22,12305.07,348089.4,97364.78,-238419.55,0.3151,-1128693.44,-33348284.13,69.96,93.3,23.92,33.7,1,False,False
FIN-0000005021,2021-01-03,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132262.46,180759.47,1072808.48,1024311.47,6.6667,-854408.25,-34202692.38,45.73,57.73,34.84,24.28,0,True,False
