week_start,cash_flow_usd,revenue_usd,procurement_cost_usd,logistics_cost_usd,operational_cost_usd,sla_penalty_usd,transactions,avg_dso,avg_dpo,avg_cash_conversion_cycle,rolling_mean_13w,rolling_std_13w,ci95_lower_mean,ci95_upper_mean,pi95_lower,pi95_upper,forecast_mean,forecast_std,forecast_lower,forecast_upper,trailing_stress_threshold,stress_eligible,stress,stress_reason,severity_rank
2023-03-27,-102402347.0,7430875.59,2196716.25,138366.83,186862.15999999997,115707.63,328,57.798323170731706,69.16274390243903,33.93859756097561,-86248200.51384616,17067183.347424336,-96561796.18966985,-75934604.83802247,-124838141.95849164,-47658259.06920068,-85311512.99384615,16428939.72004597,-122458346.70908025,-48164679.27861205,-95412586.003,True,True,below-prior-52w-p10,9.0
2023-05-15,-100159963.68,4129332.49,2273819.09,196432.51,115968.23,310163.61,346,58.02026011560693,68.1364739884393,35.195317919075144,-86819279.14384614,11071425.040374491,-93509674.33660914,-80128883.95108314,-111852445.73728468,-61786112.5504076,-85393994.04846153,10382077.688503016,-108868504.27768187,-61919483.81924118,-97441568.45899999,True,True,below-prior-52w-p10,12.0
2023-05-22,-105883431.91,4670856.14,2568102.85,219182.66999999998,172834.3,299136.96,340,58.326882352941176,67.48558823529412,36.464470588235294,-89771329.28153847,10599123.120333793,-96176315.28046691,-83366343.28261003,-113736592.45661274,-65806066.10646421,-86819279.14384614,11071425.040374491,-111852445.73728468,-61786112.5504076,-99300837.557,True,True,below-prior-52w-p10,4.0
2023-05-29,-104397977.4,6861744.11,2062353.94,84151.90000000001,272067.83,214089.49,321,57.40043613707165,67.22897196261682,35.53470404984424,-91941039.08615384,10473901.942673659,-98270354.6847504,-85611723.48755728,-115623169.5488662,-68258908.62344147,-89771329.28153847,10599123.120333793,-113736592.45661274,-65806066.10646421,-99526554.143,True,True,below-prior-52w-p10,7.0
2023-07-03,-100267010.89,5967622.26,2163105.21,210898.62,123210.92,400648.85000000003,316,58.26920886075949,69.01908227848101,34.86629746835443,-89269514.69153847,12313418.714633806,-96710439.15017323,-81828590.2329037,-117110904.65661612,-61428124.726460814,-88525526.06230769,11878061.102601841,-115382545.94042957,-61668506.1841858,-100097088.51,True,True,below-prior-52w-p10,11.0
2023-09-18,-104457278.29,5703772.8,2280432.34,233128.55,166776.12,208335.66,333,56.974114114114116,68.90381381381381,31.908108108108106,-81255249.79461539,15643583.161501352,-90708572.4879113,-71801927.10131948,-116626344.47954378,-45884155.109687,-79338570.31846154,14004490.873834353,-111003577.47178881,-47673563.165134266,-100097088.51,True,True,below-prior-52w-p10,6.0
2023-09-25,-102071275.55,4965245.3,1871332.39,114108.41,129261.67,126866.18000000001,311,57.9411575562701,67.93398713826367,35.53032154340836,-82169781.45230769,16531286.257161453,-92159537.7575503,-72180025.14706507,-119548026.92389025,-44791535.980725124,-81255249.79461539,15643583.161501352,-116626344.47954378,-45884155.109687,-100256306.169,True,True,below-prior-52w-p10,10.0
2023-12-11,-109462097.25,3230118.58,2854453.56,139171.13999999998,290001.37,319746.34,325,57.79187692307693,67.16436923076922,35.240153846153845,-85631007.75461538,14837179.32923132,-94597025.48913947,-76664990.0200913,-119178774.24094358,-52083241.26828718,-83182600.46307692,13101596.815282505,-112806109.13707295,-53559091.78908088,-101890849.08399999,True,True,below-prior-52w-p10,2.0
2024-04-08,-104971676.32,8306590.54,1959358.47,141031.68,172848.44,179788.05,325,57.21916923076923,68.30661538461538,34.05716923076923,-79386676.16153847,15958718.693128625,-89030433.35068105,-69742918.97239588,-115470311.48454812,-43303040.83852882,-76228418.73461539,14466340.322731178,-108937695.63218607,-43519141.8370447,-100780392.436,True,True,below-prior-52w-p10,5.0
2024-06-03,-102409317.76,6869944.12,1947143.4,131186.29,139563.65,255058.93,317,57.757287066246064,69.27488958990536,34.12384858044164,-84457041.75384615,15661187.571133442,-93921002.68541262,-74993080.82227969,-119867941.08158177,-49046142.42611053,-82541739.83076923,14780494.785262942,-115961339.10942012,-49122140.55211834,-99617596.68699999,True,True,below-prior-52w-p10,8.0
